,id,summary,risk,category,variance
2978,53539,"E2E: 19.59.27 CP3A S0018081  BPXM023I (STCTVLI) ILGDC08E:socket reconnect failed,ThreadId:1        端到端主机Log DC重连Socket失败，Log DC线程退出。",218,8,-1.02300449
84,50645,"01.42.37 CP1E          *IOS002A 071B,NO PATHS AVAILABLE",194,8,-1.022131431
2666,53227,"E2E: 11.51.41 CP3C S0069800  BPXM023I (STCTVLI) ILGDC08E:socket reconnect failed,ThreadId:1        端到端主机Log DC重连Socket失败，Log DC线程退出。",189,8,-1.021271603
1502,52063,带库相关问题，请通知系统管理一和生产运行值班人员 03.18.21 S0093614 *3139 IEF238D SA390IPL - REPLY DEVICE NAME OR 'CANCEL'. | ED80-EDAF EE00-EE3F EE80-EEAF EF00-EF3F EF80-EFAF | :,174,8,-1.020777473
3943,54504,"E2E:2018-12-25 22:20:14,316 ERROR [com.e2e.dc.service.impl.GetLogDataImpl] - Got SQL exception : java.sql.SQLException: ORA-12592: TNS:bad packet",170,8,-1.020748936
874,51435,"10.25.03 CP1D J0070666 *IEF099I JOB G02S121B WAITING FOR DATA SETS Scratch of volume WP5208 requested by host via device 02AD, dsn='TXNH.CA160117.H20'",166,8,-1.0205324
77,50638,22.01.12 CP3A S0005755  DSNT500I  -DP1Z DSNUGRAR RESOURCE UNAVAILABLE REASON 00C90088 TYPE 00002102 -            NAME BSZBASE .TSGECT  .00000018,162,8,-1.020354935
1679,52240,03.05.45 CP3A S0048551  BCTSKLIFES0 SEV=CRI CIP3AA41 TaskID: 20475 TranID: SX02 CUREENT:503 (ElapsedTime > 500),158,8,-1.019211024
1900,52461,"E2E:2018-12-12 22:20:49,604 ERROR [com.e2e.dc.service.impl.GetLogDataImpl] - Got SQL exception : java.sql.SQLException: ORA-12592: TNS:bad packet",155,8,-1.019182089
4099,54660,"E2E:2018-12-27 22:19:15,050 ERROR [com.e2e.dc.service.impl.GetLogDataImpl] - Got SQL exception : java.sql.SQLException: ORA-12592: TNS:bad packet",152,8,-1.018106996
2907,53468,"E2E:2018-12-24 22:21:13,440 ERROR [com.e2e.dc.service.impl.GetLogDataImpl] - Got SQL exception : java.sql.SQLException: ORA-12592: TNS:bad packet",148,8,-1.017935222
3781,54342,"E2E:2018-12-25 20:07:17,971 ERROR - [data.proc.output_rrtview] thread 'data.proc.output_rrtview' error, error occurs when sql running.",145,8,-1.017873717
3784,54345,"E2E:2018-12-25 20:07:17,962 ERROR - [data.proc.output_bigview] thread 'data.proc.output_bigview' error, error occurs when sql running.",142,8,-1.01777507
3993,54554,"E2E:2018-12-26 22:19:46,411 ERROR [com.e2e.dc.service.impl.GetLogDataImpl] - Got SQL exception : java.sql.SQLException: ORA-12592: TNS:bad packet",139,8,-1.017772559
4009,54570,"02.07.13 CP2C           IOS080I 58CC,76,C4042133, I/O TIMEOUT INTERVAL HAS BEEN EXCEEDED FOR AN ACTIVE REQUEST. DATASET NAME=PRDC64R.LVEQ.ET.ETQD2042.A1303 FROM S0037766 TP2C",134,6,-1.017078839
3783,54344,"E2E:2018-12-25 20:07:18,407 ERROR - [data.proc.get.SystemTxindView] thread 'data.proc.get.SystemTxindView' error, error occurs when sql running.",131,8,-1.01700644
1189,51750,"01.30.02 CP3B S0047996  SMC0051 SMC SUBSYSTEM INTERFACE ERROR FOR JOB DUMMTW01; REASON=ASCOMM RC=608 (X'00000260'), FUNCTION=XVOLLKUP",129,8,-1.016944751
362,50923,"01.56.16 CP2D           IOS080I 4BBA,B4,C404144I, I/O TIMEOUT INTERVAL HAS BEEN EXCEEDED FOR AN ACTIVE REQUEST. DATASET NAME=PRDC64R.LVEQ.ET.ETQD2041.A4418 FROM S0037766 TP2C",127,8,-1.016292362
3790,54351,"E2E:2018-12-25 20:07:17,955 ERROR - [data.proc.convertRRT] thread 'data.proc.convertRRT' error, error occurs when sql running.",122,8,-1.015409821
540,51101,05.59.14 CPKC STC07526  GEO171W CONTROLLING SYSTEM(S) NOT FOUND ( CPKD ) (CPKCA),120,8,-1.01451277
567,51128,07.51.58 CP1F S0195834  GEO171W CONTROLLING SYSTEM(S) NOT FOUND ( CPKB ) (CP1FA) HAS BEEN COMPLETED,118,8,-1.014356343
1741,52302,"E2E:2018-12-09 22:06:08,896 ERROR [com.e2e.dc.service.impl.GetLogDataImpl] - Got SQL exception : java.sql.SQLException: ORA-12592: TNS:bad packet",116,8,-1.014311299
509,51070,04.59.14 CPKC STC07526  GEO171W CONTROLLING SYSTEM(S) NOT FOUND ( CPKD ) (CPKCA),112,8,-1.013963026
3780,54341,"E2E:2018-12-25 20:07:18,477 ERROR - [data.proc.main] thread 'data.proc.main' error, error occurs when sql running.",110,8,-1.013824074
1915,52476,04.42.36 J0048726 *IEF099I JOB G01S255B WAITING FOR DATA SETS Volume FJ9906 (/tapelibPRODHSH/DD1_POOL02_FS1/FJ9906) already scratched,109,3,-1.01370521
1333,51894,带库相关问题，请通知系统管理一和生产运行值班人员 02.19.17 CP1E S0093084 *3092 IEF238D SA390IPL - REPLY DEVICE NAME OR * 'CANCEL'.,104,8,-1.013201928
1334,51895,带库相关问题，请通知系统管理一和生产运行值班人员 02.19.17 CP1E S0093084 *3092 IEF238D SA390IPL - REPLY DEVICE NAME OR |  'CANCEL'.,104,8,-1.013201928
1200,51761,"01.24.09 CP1C S0129908  BCTAKLIFES1 SEV=CRI CIP1KT11 TSBS(77254) LifeTime: 18607 (ElapsedTime > 18000)        ,CICS交易响应时间>3分钟",101,8,-1.01307552
3787,54348,"E2E:2018-12-25 20:07:17,927 ERROR - [data.proc.baseline_AGGRE_18_30] thread 'data.proc.baseline_AGGRE_18_30' error, error occurs when sql running.",99,8,-1.013058069
883,51444,19.41.29 CP3D S0189611  DNFF4095I 2018-12-08 11:41:29 BOCOUA DNF_FSM LT 'BKCHAU2AA': RP user synchronization will start in '120' seconds.,98,8,-1.012744841
1500,52061,带库相关问题，请通知系统管理一和生产运行值班人员 03.18.21 S0093614 *3139 IEF238D SA390IPL - REPLY DEVICE NAME OR 'CANCEL'.,97,8,-1.012698765
1400,51961,"03.33.09 S0092559  BCTAKLIFES1 SEV=CRI CIP1KT11 TSBS(  579) LifeTime: 21245 (ElapsedTime > 18000)        ,CICS交易响应时间>3分钟",95,8,-1.012091262
2032,52593,19.35.21 CP3B S0050584  GEO114W SOME LINKS NOT ACTIVE [CP3BA],94,8,-1.011979936
1534,52095,带库相关问题，请通知系统管理一和生产运行值班人员 03.15.29 S0093608 *3123 IEF238D SA390IPL - REPLY DEVICE NAME OR 'CANCEL'. percentage is now 50.,93,8,-1.011905219
879,51440,19.44.12 CP3D S0189611  DNFF4068I 2018-12-08 11:44:12 BOCOUA DNF_FSM LT 'BKCHAU2SA': 'Life Signal' timeout detected by 'FSM SLS'.,91,8,-1.011563501
1018,51579,带库相关问题，请通知系统管理一和生产运行值班人员 01.47.50 CP1C S0092689 *3060 IEF238D SA390IPL - REPLY DEVICE NAME OR * 'CANCEL'.,90,8,-1.011514162
541,51102,05.59.14 CPKC STC07526  GEO061W CF BAC2C5 002964.IBM.84.0000000AAAB5 NOT WORKING (CPKCA),89,8,-1.011510179
543,51104,05.58.14 CP1A S0195831  GEO171W CONTROLLING SYSTEM(S) NOT FOUND ( CPKB ) (CP1AA),88,8,-1.011341669
539,51100,05.59.17 CPKA STC07670  GEO114W SOME LINKS NOT ACTIVE (CPKAA),87,8,-1.011257313
508,51069,04.59.14 CPKC STC07526  GEO061W CF BAC2C5 002964.IBM.84.0000000AAAB5 NOT WORKING (CPKCA),86,8,-1.011063997
902,51463,带库相关问题，请通知系统管理一和生产运行值班人员 00.55.13 CP1A S0092303 *3027 IEF238D SA390IPL - REPLY DEVICE NAME OR * 'CANCEL'.,85,8,-1.010998908
903,51464,带库相关问题，请通知系统管理一和生产运行值班人员 00.55.13 CP1A S0092303 *3027 IEF238D SA390IPL - REPLY DEVICE NAME OR |  'CANCEL'.,85,8,-1.010998908
2475,53036,二 12月 18 21:20:01 CST 2018 Netcool主机监控出现异常,82,8,-1.010767229
511,51072,04.58.14 CP1A S0195831  GEO171W CONTROLLING SYSTEM(S) NOT FOUND ( CPKB ) (CP1AA),81,8,-1.010754582
1752,52313,"03.58.39 J0158373  IEC205I SYS00003,ONLJRIM,DSNBPROC,FILESEQ=21, COMPLETE VOLUME LIST, DSN=BACKUPP1.ONL.TSIMGF.D181209.H19,VOLS=S29186,TOTALBLOCKS=35 - THE CONDITION THAT CAUSED THE PREVIOUS DSNB355I MESSAGE DOES NOT - CURRENTLY E",80,8,-1.010583286
884,51445,"19.41.28 CP3C S0189605  DNFF4079I 2018-12-08 11:41:28 BOCOUA DNF_FSM LT 'BKCHAU2AA': ABORT requested by AL server, ABORT code 'US007', ABORT diagnostic code - 'Life signal timeout'.",79,8,-1.010576214
4086,54647,四 12月 27 19:55:01 CST 2018 Netcool主机监控出现异常,78,8,-1.010442265
568,51129,07.50.44 CP3D S0050594  GEO171W CONTROLLING SYSTEM(S) NOT FOUND ( CPKD ) (CP3DA),76,8,-1.010196075
1306,51867,"02.45.34 CP1C S0092559  BCTAKLIFES1 SEV=CRI CIP1KT11 TSBS(  368) LifeTime: 23900 (ElapsedTime > 18000)        ,CICS交易响应时间>3分钟",76,8,-1.009556821
878,51439,19.44.14 CP3D S0189611  DNFF4095I 2018-12-08 11:44:14 BOCOUA DNF_FSM LT 'BKCHAU2SA': RP user synchronization will start in '120' seconds.,75,8,-1.009537944
1545,52106,03.14.34 S0093003  BQCARQDEPS0 SEV=CRI MQ2A NamedQueue: PRM.CRE.PIPINQ CURRENT DEPTH: 7217 (CurrentDepth >= 5000) CURRENT DEPTH: 7217 (CurrentDepth >= 5000),74,8,-1.009309824
1174,51735,01.31.32 CP1E S0129913  BQBDTOPICS0 SEV=CRI ALL Subs Name: BANCS/DNF Subs Cnt: 6 (Subs NAMECnt < 8),73,8,-1.009299684
1993,52554,20.18.15 CP3D S0050594  GEO114W SOME LINKS NOT ACTIVE (CP3DA),72,8,-1.009168351
2583,53144,21.14.07 J0108548  +DBA:BANCS BIG PARTITION TS FOUND!TSINCT PART 328 86.6% INUSE SYSJOB operations at the source table should be replicated (value of - CAPTURE_LOAD column in the IBMQREP_SUBS control table).,72,8,-1.009208306
1720,52281,"08.10.49 S0116365  DNIE4497E 2018-12-09 00:10:49 SYSOU DNI_SYSADM Exception without valid message ID; exception data: message catalog=\BIPmsgs\, error - number=\2666\, parameters=\[[-1][MQW101][2085][][QWP1 -",71,8,-1.009152852
576,51137,07.40.45 CP3D S0050594  GEO061W CF BAC2C5 002964.IBM.84.0000000AAAB5 NOT WORKING (CP3DA),70,8,-1.009072592
880,51441,"19.44.12 CP3C S0189605  DNFF4079I 2018-12-08 11:44:12 BOCOUA DNF_FSM LT 'BKCHAU2SA': ABORT requested by AL server, ABORT code 'US007', ABORT diagnostic code - 'Life signal timeout'.",69,8,-1.00884266
1990,52551,"19.32.38 S0093532  +EYUPN0005W CIP1MM41 Notify created for SAM, Context=CPLEXBBS, Target=CIP1KT42, Sev=HS, Event=!!SAMMAX, Text=MAXTASK at 19:32:38.",69,8,-1.008771795
1173,51734,01.31.31 CP1E S0129913  BQBSTOPICS0 SEV=CRI ALL Topic String: BANCS/SYSMODE (Topic StringCnt < 4),68,8,-1.008706085
882,51443,"19.41.28 CP3D S0189611  DNFF4141I 2018-12-08 11:41:28 BOCOUA DNF_FSM LT 'BKCHAU2AA': user or SFD-internal ABORT request accepted, ABORT code 'US007', ABORT - diagnostic code 'Life signal timeout'.",67,8,-1.008696724
1346,51907,02.15.04 CP1E S0093003  BQBDTOPICS0 SEV=CRI ALL Subs Name: BANCS/DNF Subs Cnt: 6 (Subs NAMECnt < 8),67,8,-1.008418103
560,51121,06.55.29 CP3C S0050593  GEO171W CONTROLLING SYSTEM(S) NOT FOUND ( CPKD ) (CP3CA),66,8,-1.008243249
478,51039,03.59.14 CPKC STC07526  GEO171W CONTROLLING SYSTEM(S) NOT FOUND ( CPKD ) (CPKCA),65,8,-1.008136865
