,id,summary,risk,category,variance
2416,52977,08.06.27 CP2D S0007542  BSOEXTPDSS0 SEV=WAR CP2C Data Set: SYS0.MLIB.PARMLIB EXTENTS = 16 (Exts > 12),5,8,-0.890596225
2472,53033,08.06.26 CP2D S0007542  BSOEXTPDSS0 SEV=WAR CP2C Data Set: SYS0.MLIB.PARMLIB EXTENTS = 16 (Exts > 12),5,8,-0.893434765
2571,53132,08.06.26 CP2D S0007542  BSOEXTPDSS0 SEV=WAR CP2C Data Set: SYS0.MLIB.PARMLIB EXTENTS = 16 (Exts > 12),5,8,-0.893434765
2636,53197,08.06.27 CP2D S0007542  BSOEXTPDSS0 SEV=WAR CP2C Data Set: SYS0.MLIB.PARMLIB EXTENTS = 16 (Exts > 12),5,8,-0.890596225
2792,53353,08.06.28 CP2D S0007542  BSOEXTPDSS0 SEV=WAR CP2C Data Set: SYS0.MLIB.PARMLIB EXTENTS = 16 (Exts > 12),5,8,-0.890182158
2836,53397,08.06.25 CP2D S0007542  BSOEXTPDSS0 SEV=WAR CP2C Data Set: SYS0.MLIB.PARMLIB EXTENTS = 16 (Exts > 12),5,8,-0.891401366
2886,53447,08.06.22 CP2D S0007542  BSOEXTPDSS0 SEV=WAR CP2C Data Set: SYS0.MLIB.PARMLIB EXTENTS = 16 (Exts > 12),5,8,-0.890941908
2943,53504,08.06.28 CP2D S0007542  BSOEXTPDSS0 SEV=WAR CP2C Data Set: SYS0.MLIB.PARMLIB EXTENTS = 16 (Exts > 12),5,8,-0.890182158
3976,54537,08.06.31 CP2D S0007542  BSOEXTPDSS0 SEV=WAR CP2C Data Set: SYS0.MLIB.PARMLIB EXTENTS = 16 (Exts > 12),5,8,-0.891580186
4135,54696,08.06.31 CP2D S0007542  BSOEXTPDSS0 SEV=WAR CP2C Data Set: SYS0.MLIB.PARMLIB EXTENTS = 16 (Exts > 12),5,8,-0.891580186
15,50576,23.09.10 CP1D J0129294 *IEF099I JOB EC046200 WAITING FOR DATA SETS,5,3,-0.821425074
28,50589,"01.05.05 CP3B J0044851 *IEF099I JOB SMFMRGCI WAITING FOR DATA SETS THURSDAY, NOVEMBER 29, 2018",5,3,-0.827919891
30,50591,02.45.28 CP3A J0056558 *IEF099I JOB DEDPLK31 WAITING FOR DATA SETS,5,3,-0.820293875
85,50646,01.38.56 CP1C J0031379 *IEF099I JOB P1ZOSDL  WAITING FOR DATA SETS PU GEN NOT SUPPORTED,5,3,-0.86618983
128,50689,18.19.48 CP1F J0111941 *IEF099I JOB G01S583B WAITING FOR DATA SETS,5,3,-0.82625584
325,50886,*03.48.06 CP2A J0042070 *IEF099I JOB ZZ221201 WAITING FOR DATA SETS,5,3,-0.834578017
340,50901,06.43.24 CP3C J0141796 *IEF099I JOB DEDPH131 WAITING FOR DATA SETS,5,3,-0.83371201
389,50950,06.46.51 CP3D J0055554 *IEF099I JOB DEDPH131 WAITING FOR DATA SETS,5,3,-0.833894423
390,50951,07.48.28 CP1F J0125955 *IEF099I JOB G02SD28B WAITING FOR DATA SETS,5,3,-0.838919679
391,50952,08.26.06 CP3C J0073644 *IEF099I JOB DEDPRS31 WAITING FOR DATA SETS,5,3,-0.832323035
393,50954,10.58.19 CP1C J0134929 *IEF099I JOB DB2016N  WAITING FOR DATA SETS,5,3,-0.837897876
421,50982,"02.17.37 CP1B           IOS080I 17FB,56,XCFAS, I/O TIMEOUT INTERVAL HAS BEEN EXCEEDED FOR AN ACTIVE REQUEST.",5,6,-0.888958026
422,50983,"02.17.37 CP1E           IOS080I 17FB,58,XCFAS, I/O TIMEOUT INTERVAL HAS BEEN EXCEEDED FOR AN ACTIVE REQUEST.",5,6,-0.866266799
466,51027,00.43.18 CP3A J0030593 *IEF099I JOB DEDPPH31 WAITING FOR DATA SETS,5,3,-0.842110518
514,51075,04.21.59 CP3D J0060240 *IEF099I JOB DEDPQA31 WAITING FOR DATA SETS,5,3,-0.828230493
585,51146,11.26.34 CP1E J0104749 *IEF099I JOB SELACTB  WAITING FOR DATA SETS,5,3,-0.831646189
593,51154,16.26.38 CP1A J0125260 *IEF099I JOB SMSRPTP1 WAITING FOR DATA SETS,5,3,-0.838377558
816,51377,06.43.32 CP3D J0195687 *IEF099I JOB DEDPNL31 WAITING FOR DATA SETS,5,3,-0.832867286
817,51378,08.24.44 CP3C J0013470 *IEF099I JOB DEDPPT31 WAITING FOR DATA SETS,5,3,-0.842667021
822,51383,16.03.30 CP1F J0011622 *IEF099I JOB DB2061   WAITING FOR DATA SETS,5,3,-0.824674243
823,51384,19.22.11 CP1C J0030103 *IEF099I JOB G0CHK03B WAITING FOR DATA SETS,5,3,-0.825843882
852,51413,04.31.50 CP3D J0088216 *IEF099I JOB DEDPDEU4 WAITING FOR DATA SETS,5,3,-0.821156271
877,51438,15.34.31 CP1E J0075525 *IEF099I JOB JOINKEY  WAITING FOR DATA SETS,5,3,-0.823291736
1754,52315,05.50.35 J0161830 *IEF099I JOB G01S015B WAITING FOR DATA SETS,5,3,-0.823252174
1772,52333,06.08.22 J0161959 *IEF099I JOB G01S501A WAITING FOR DATA SETS,5,3,-0.822108793
1775,52336,21.18.38 J0036234 *IEF099I JOB NMFLAGRP WAITING FOR DATA SETS,5,3,-0.827801028
1812,52373,05.05.09 J0070863  +DBA:BANCS BIG PARTITION TS FOUND!TSGECT PART 243 70.7% INUSE SYSJOB BOCHSM.HMIGTAPE.DATASET - RACK=L55111,5,1,-0.882275841
1819,52380,07.51.08 J0072695 *IEF099I JOB G02S138D WAITING FOR DATA SETS,5,3,-0.824097709
1881,52442,08.16.08 CP3C J0176098 *IEF099I JOB DEDPRS23 WAITING FOR DATA SETS,5,3,-0.853910036
1982,52543,15.48.33 CP2C J0022511 *IEF099I JOB G1214S   WAITING FOR DATA SETS,5,3,-0.841855208
2009,52570,"21.11.29 J0021592 *IEF099I JOB NA100009 WAITING FOR DATA SETS DECEMBER 14, 2018",5,3,-0.846672458
2239,52800,04.53.26 CP2A J0090071 *IEF099I JOB QTINVM00 WAITING FOR DATA SETS,5,3,-0.851391392
2240,52801,05.51.37 J0058053 *IEF099I JOB A01M9254 WAITING FOR DATA SETS,5,3,-0.822310851
2258,52819,06.44.33 CP3D J0102608 *IEF099I JOB DEDPHU31 WAITING FOR DATA SETS,5,3,-0.826464968
2259,52820,06.44.22 CP3C J0102530 *IEF099I JOB DEDPZM31 WAITING FOR DATA SETS,5,3,-0.834370095
2357,52918,06.41.56 CP3C J0014319 *IEF099I JOB DEDPAT31 WAITING FOR DATA SETS,5,3,-0.840428889
2358,52919,08.23.51 CP3C J0032301 *IEF099I JOB DEDPRS31 WAITING FOR DATA SETS,5,3,-0.839191431
2359,52920,08.15.47 CP3C J0028957 *IEF099I JOB DEDPIE23 WAITING FOR DATA SETS,5,3,-0.83029926
2386,52947,03.46.03 J0139337 *IEF099I JOB G01UL133 WAITING FOR DATA SETS,5,3,-0.831339456
2413,52974,06.44.35 CP3D J0128377 *IEF099I JOB DEDPHU31 WAITING FOR DATA SETS,5,3,-0.821063927
2474,53035,14.38.41 J0081548 *IEF099I JOB CXC2CVT  WAITING FOR DATA SETS,5,3,-0.84260614
2567,53128,07.50.46 J0040958 *IEF099I JOB G02S138D WAITING FOR DATA SETS,5,3,-0.830582155
2570,53131,08.16.31 CP3C J0082288 *IEF099I JOB DEDPAO23 WAITING FOR DATA SETS,5,3,-0.840176868
2595,53156,22.20.39 J0109314 *IEF099I JOB G01S433B WAITING FOR DATA SETS,5,3,-0.83621022
2600,53161,00.27.43 J0117525 *IEF099I JOB EC046100 WAITING FOR DATA SETS,5,3,-0.831632197
2603,53164,"01.42.18 J0125073 *IEF099I JOB G02S389B WAITING FOR DATA SETS DECEMBER 21, 2018",5,3,-0.850582592
2618,53179,05.41.09 J0143878 *IEF099I JOB A01M9256 WAITING FOR DATA SETS,5,3,-0.821574025
2790,53351,08.13.40 CP3D J0103316 *IEF099I JOB DEDPRS23 WAITING FOR DATA SETS,5,3,-0.832487264
2791,53352,08.08.39 J0043286 *IEF099I JOB G00S077B WAITING FOR DATA SETS,5,3,-0.833406387
2813,53374,23.14.50 J0064664 *IEF099I JOB EC046500 WAITING FOR DATA SETS,5,3,-0.829611573
2819,53380,"01.05.02 CP3B J0163994 *IEF099I JOB SMFMRGCI WAITING FOR DATA SETS 5,130,000  LINES",5,3,-0.844574729
2827,53388,04.31.34 CP3D J0187094 *IEF099I JOB DEDPGBS5 WAITING FOR DATA SETS,5,3,-0.832050889
2945,53506,14.14.13 J0057169 *IEF099I JOB DBXZB    WAITING FOR DATA SETS,5,3,-0.847844232
2946,53507,15.14.43 J0065076 *IEF099I JOB SQLTMP   WAITING FOR DATA SETS,5,3,-0.829400553
3958,54519,04.31.28 CP3C J0126393 *IEF099I JOB DEDPGBU4 WAITING FOR DATA SETS,5,3,-0.827082799
3960,54521,05.45.48 J0134805 *IEF099I JOB A01M9251 WAITING FOR DATA SETS,5,3,-0.823078711
3980,54541,15.43.49 CP2A J0052580 *IEF099I JOB YX0001S  WAITING FOR DATA SETS,5,3,-0.848845643
3981,54542,15.37.14 J0170338 *IEF099I JOB SQL530   WAITING FOR DATA SETS,5,3,-0.826600255
4014,54575,04.31.48 CP3C J0039251 *IEF099I JOB DEDPGBU4 WAITING FOR DATA SETS,5,3,-0.831439551
4015,54576,04.24.59 CP3C J0037948 *IEF099I JOB DEDPAE31 WAITING FOR DATA SETS,5,3,-0.836179584
4016,54577,04.24.53 CP3C J0037929 *IEF099I JOB DEDPAB31 WAITING FOR DATA SETS,5,3,-0.845652224
4031,54592,07.30.10 J0034784 *IEF099I JOB G01S126B WAITING FOR DATA SETS,5,3,-0.822470077
4078,54639,15.56.31 J0072945 *IEF099I JOB DB2SEL1  WAITING FOR DATA SETS BUFFER POOLS,5,3,-0.883714133
4079,54640,15.51.42 J0072375 *IEF099I JOB CXCTEMP  WAITING FOR DATA SETS,5,3,-0.835693865
4081,54642,15.44.57 J0071322 *IEF099I JOB CKSISCDS WAITING FOR DATA SETS,5,3,-0.824732449
4082,54643,15.43.39 J0071304 *IEF099I JOB SMSRPTP1 WAITING FOR DATA SETS,5,3,-0.822400488
4083,54644,15.43.16 J0071299 *IEF099I JOB CKSISCDS WAITING FOR DATA SETS,5,3,-0.825758444
4084,54645,15.42.15 J0071273 *IEF099I JOB SMSRPTP1 WAITING FOR DATA SETS,5,3,-0.825944327
4087,54648,21.19.48 J0100590 *IEF099I JOB NMFLAGRP WAITING FOR DATA SETS,5,3,-0.828765911
4105,54666,02.15.01 CP3A J0135902 *IEF099I JOB RMFRPTD3 WAITING FOR DATA SETS FROM S0142752 TPZ2,5,3,-0.869303315
4110,54671,04.31.57 CP3C J0153069 *IEF099I JOB DEDPG1U4 WAITING FOR DATA SETS,5,3,-0.824607983
4138,54699,14.19.07 J0168409 *IEF099I JOB SUM01    WAITING FOR DATA SETS,5,3,-0.829406847
18,50579,00.51.04 CP1D J0135720 *IEF099I JOB SA060000 WAITING FOR DATA SETS,4,3,-0.780899648
24,50585,00.26.53 CP1E J0135356 *IEF099I JOB G01S023B WAITING FOR DATA SETS,4,3,-0.794737138
35,50596,03.00.46 CP2D J0159538 *IEF099I JOB C4CARD00 WAITING FOR DATA SETS,4,3,-0.78563072
36,50597,04.31.42 CP3D J0068418 *IEF099I JOB DEDPDES5 WAITING FOR DATA SETS,4,3,-0.811929802
37,50598,04.31.34 CP3C J0068405 *IEF099I JOB DEDPDEU4 WAITING FOR DATA SETS,4,3,-0.814329216
40,50601,05.56.16 CP1E J0158689 *IEF099I JOB A01M9258 WAITING FOR DATA SETS,4,3,-0.803567247
58,50619,10.18.31 CP1F J0166956 *IEF099I JOB G01S583B WAITING FOR DATA SETS,4,3,-0.808670137
59,50620,10.15.07 CP1E J0166664 *IEF099I JOB QXCCDBIN WAITING FOR DATA SETS,4,3,-0.803736824
62,50623,18.19.15 CP1F J0009986 *IEF099I JOB G01S583B WAITING FOR DATA SETS,4,3,-0.803856691
71,50632,21.11.42 CP1F J0014024 *IEF099I JOB NA100009 WAITING FOR DATA SETS,4,3,-0.782603319
78,50639,23.29.39 CP1D J0025022 *IEF099I JOB G01S663B WAITING FOR DATA SETS,4,3,-0.780623349
79,50640,*23.29.39 CP1D J0025022 *IEF099I JOB G01S663B WAITING FOR DATA SETS,4,3,-0.780623349
81,50642,00.41.04 CP1E J0028757 *IEF099I JOB G01S023B WAITING FOR DATA SETS,4,3,-0.77531786
82,50643,00.34.31 CP1F J0026205 *IEF099I JOB SA040000 WAITING FOR DATA SETS,4,3,-0.791066177
94,50655,03.33.04 CP1C J0046576 *IEF099I JOB CXBKUP06 WAITING FOR DATA SETS,4,3,-0.803712634
110,50671,"05.04.12 CP1C J0049198  +DBA:BANCS BIG PARTITION TS FOUND!TSGECT PART 98 77.7% INUSE SYSJOB , MAJNOD = CP1BXCE0",4,1,-0.771148364
119,50680,10.18.59 CP1D J0058625 *IEF099I JOB G01S583B WAITING FOR DATA SETS,4,3,-0.819717421
151,50712,| 00.34.40 CP1D J0128828 *IEF099I JOB SA040000 WAITING FOR DATA SETS,4,3,-0.792048001
152,50713,*00.34.40 CP1D J0128828 *IEF099I JOB SA040000 WAITING FOR DATA SETS,4,3,-0.792048001
153,50714,00.27.05 CP1C J0128649 *IEF099I JOB G01S023B WAITING FOR DATA SETS,4,3,-0.77217902
157,50718,01.26.31 CP2A J0066762 *IEF099I JOB TMZ60000 WAITING FOR DATA SETS,4,3,-0.773927809
168,50729,03.07.25 CP1C J0145195 *IEF099I JOB G01S131B WAITING FOR DATA SETS,4,3,-0.793887257
170,50731,03.03.26 CP2C J0098171 *IEF099I JOB C4CARD01 WAITING FOR DATA SETS,4,3,-0.809540819
173,50734,05.27.06 CP1F J0151934 *IEF099I JOB A01S804B WAITING FOR DATA SETS,4,3,-0.780971398
260,50821,02.43.07 CP2B J0168279 *IEF099I JOB C4CARD00 WAITING FOR DATA SETS,4,3,-0.797632022
261,50822,02.31.05 CP1E J0187214 *IEF099I JOB G01S660B WAITING FOR DATA SETS,4,3,-0.79212259
287,50848,05.24.10 CP1C J0001041 *IEF099I JOB A01S804B WAITING FOR DATA SETS,4,3,-0.781312679
315,50876,22.27.08 CP1E J0014340 *IEF099I JOB G01S663B WAITING FOR DATA SETS,4,3,-0.783601781
317,50878,00.38.55 CP1D J0026368 *IEF099I JOB G01S506B WAITING FOR DATA SETS,4,3,-0.771013046
322,50883,01.30.26 CP2D J0006108 *IEF099I JOB TMZ60000 WAITING FOR DATA SETS,4,3,-0.769362949
326,50887,05.23.03 CP1F J0048371 *IEF099I JOB A01S766B WAITING FOR DATA SETS,4,3,-0.772047377
343,50904,15.27.11 CP1A J0071604 *IEF099I JOB SORTJCL  WAITING FOR DATA SETS,4,3,-0.813759192
359,50920,00.55.50 CP1F J0106577 *IEF099I JOB G01S506B WAITING FOR DATA SETS,4,3,-0.77363776
365,50926,01.22.42 CP2A J0075432 *IEF099I JOB TMZ60000 WAITING FOR DATA SETS,4,3,-0.770297907
368,50929,01.03.33 CP3C J0010951 *IEF099I JOB DEDPL1U4 WAITING FOR DATA SETS,4,3,-0.790628178
369,50930,02.49.59 CP2B J0106629 *IEF099I JOB C4CARD00 WAITING FOR DATA SETS,4,3,-0.806894052
372,50933,02.12.22 CP3B J0016636 *IEF099I JOB DEDPLK23 WAITING FOR DATA SETS,4,3,-0.789837809
373,50934,05.26.02 CP1F J0124675 *IEF099I JOB A01S766B WAITING FOR DATA SETS,4,3,-0.770353022
409,50970,23.34.38 CP1C J0181206 *IEF099I JOB G01S663B WAITING FOR DATA SETS,4,3,-0.786237987
410,50971,00.57.13 CP1D J0186364 *IEF099I JOB G01S506B WAITING FOR DATA SETS,4,3,-0.77033371
411,50972,00.34.38 CP1C J0182226 *IEF099I JOB SA040000 WAITING FOR DATA SETS,4,3,-0.799577662
426,50987,03.28.46 CP1D J0002111 *IEF099I JOB G0FSP008 WAITING FOR DATA SETS,4,3,-0.800463688
431,50992,05.22.40 CP1E J0004986 *IEF099I JOB A01S766B WAITING FOR DATA SETS,4,3,-0.784132234
465,51026,22.44.43 CP1D J0060191 *IEF099I JOB G01S663B WAITING FOR DATA SETS,4,3,-0.790946472
474,51035,00.07.44 CP1C J0069261 *IEF099I JOB G01S023B WAITING FOR DATA SETS,4,3,-0.779278514
477,51038,02.07.50 CP1F J0070200 *IEF099I JOB SA060000 WAITING FOR DATA SETS,4,3,-0.781664502
481,51042,03.58.59 CP3A S0048551  BNROUTACTS0 SEV=CRI TCPIP DestinationIPAddr:21.125.1.6/32 System:CP3A (RouteStatus <> ACTIVE),4,5,-0.790659622
483,51044,03.58.59 CP3A S0048551  BNROUTACTS0 SEV=CRI TCPIP DestinationIPAddr:21.125.1.1/32 System:CP3A (RouteStatus <> ACTIVE),4,5,-0.790659622
498,51059,03.57.59 CP3A S0048551  BNROUTACTS0 SEV=CRI TCPIP DestinationIPAddr:21.125.1.1/32 System:CP3A (RouteStatus <> ACTIVE),4,5,-0.797123495
504,51065,03.57.59 CP3A S0048551  BNROUTACTS0 SEV=CRI TCPIP DestinationIPAddr:21.125.1.6/32 System:CP3A (RouteStatus <> ACTIVE),4,5,-0.797123495
566,51127,07.54.15 CP3A S0048551  BNROUTACTS0 SEV=CRI TCPIP DestinationIPAddr:21.125.1.3/32 System:CP3C (RouteStatus <> ACTIVE),4,5,-0.778102939
581,51142,09.52.01 CP1C J0097141 *IEF099I JOB IXOUTBKX WAITING FOR DATA SETS,4,3,-0.792529566
796,51357,01.17.48 CP2B J0082980 *IEF099I JOB TMZ60000 WAITING FOR DATA SETS,4,3,-0.772161036
802,51363,02.42.55 CP2C J0114174 *IEF099I JOB C4CARD00 WAITING FOR DATA SETS,4,3,-0.797912032
807,51368,05.53.35 CP1F J0175356 *IEF099I JOB A01S766B WAITING FOR DATA SETS,4,3,-0.797044366
820,51381,10.05.47 CP1F J0182261 *IEF099I JOB IXOUTBKX WAITING FOR DATA SETS,4,3,-0.796135351
833,51394,21.14.02 CP1E J0031966  +DBA:BANCS BIG PARTITION TS FOUND!TSGECT PART 87 71.7% INUSE SYSJOB PU GEN NOT SUPPORTED,4,1,-0.775508917
839,51400,23.51.08 CP1F J0044043 *IEF099I JOB G01S663B WAITING FOR DATA SETS,4,3,-0.789102593
842,51403,01.34.56 CP2A J0152186 *IEF099I JOB TMZ60000 WAITING FOR DATA SETS,4,3,-0.774844628
851,51412,04.32.13 CP3D J0088279 *IEF099I JOB DEDPG1S5 WAITING FOR DATA SETS,4,3,-0.813932271
854,51415,05.28.18 CP1D J0066749 *IEF099I JOB A01S766B WAITING FOR DATA SETS,4,3,-0.793993979
870,51431,06.55.30 CP1C J0067756 *IEF099I JOB G00S077B WAITING FOR DATA SETS,4,3,-0.798325923
871,51432,07.30.12 CP1C J0068251 *IEF099I JOB G01S260B WAITING FOR DATA SETS,4,3,-0.80456655
872,51433,07.30.05 CP1D J0068247 *IEF099I JOB G01S192B WAITING FOR DATA SETS,4,3,-0.797186179
963,51524,00.19.20 CP1A J0092003 *IEF099I JOB SMSRPTP1 WAITING FOR DATA SETS,4,3,-0.812083142
980,51541,00.06.09 CP1A J0091938 *IEF099I JOB SMSRPTP1 WAITING FOR DATA SETS,4,3,-0.810119899
1017,51578,01.50.31 CP2A J0020929 *IEF099I JOB TMZ60000 WAITING FOR DATA SETS,4,3,-0.774155393
1202,51763,01.06.28 CP1F J0092369 *IEF099I JOB G01SAGOC WAITING FOR DATA SETS,4,3,-0.782269083
1438,51999,03.27.10 J0093758 *IEF099I JOB SA060000 WAITING FOR DATA SETS,4,3,-0.792366809
1700,52261,05.36.52 J0114042 *IEF099I JOB A01S766B WAITING FOR DATA SETS,4,3,-0.787782964
1717,52278,06.58.12 J0115777 *IEF099I JOB G00S077B WAITING FOR DATA SETS,4,3,-0.797401556
1742,52303,23.56.16 J0137894 *IEF099I JOB G01S663B WAITING FOR DATA SETS,4,3,-0.787288027
1744,52305,00.34.47 J0138211 *IEF099I JOB SA060000 WAITING FOR DATA SETS,4,3,-0.793317681
1746,52307,01.28.40 CP2B J0090222 *IEF099I JOB TMZ60000 WAITING FOR DATA SETS,4,3,-0.771546799
1749,52310,02.53.42 CP2C J0121317 *IEF099I JOB C4CARD00 WAITING FOR DATA SETS,4,3,-0.805212532
1755,52316,05.34.28 J0161454 *IEF099I JOB G0FSP008 WAITING FOR DATA SETS,4,3,-0.789315465
1771,52332,06.48.01 CP3D J0136861 *IEF099I JOB DEDPIT31 WAITING FOR DATA SETS,4,3,-0.80689694
1794,52355,00.34.32 J0048591 *IEF099I JOB SA060000 WAITING FOR DATA SETS,4,3,-0.782707016
1806,52367,04.11.46 J0070069 *IEF099I JOB G0FSP008 WAITING FOR DATA SETS,4,3,-0.791185433
1807,52368,05.25.49 J0071251 *IEF099I JOB A01S766B WAITING FOR DATA SETS,4,3,-0.788110797
1839,52400,23.10.58 J0133585 *IEF099I JOB G01S663B WAITING FOR DATA SETS,4,3,-0.786638378
1847,52408,01.16.16 J0138914 *IEF099I JOB SA040000 WAITING FOR DATA SETS,4,3,-0.811466425
1850,52411,02.33.33 J0144246 *IEF099I JOB G01S506B WAITING FOR DATA SETS,4,3,-0.805040563
1854,52415,03.55.17 CP2D J0060051 *IEF099I JOB C4CARD01 WAITING FOR DATA SETS,4,3,-0.79469455
1874,52435,07.32.49 J0162454 *IEF099I JOB G00S077B WAITING FOR DATA SETS,4,3,-0.802117673
1902,52463,23.18.44 J0022166 *IEF099I JOB G01S663B WAITING FOR DATA SETS,4,3,-0.784498065
1904,52465,00.08.19 J0026570 *IEF099I JOB CXBNUTLL WAITING FOR DATA SETS,4,3,-0.819843724
1912,52473,03.53.24 J0047134 *IEF099I JOB P1CICSDL WAITING FOR DATA SETS,4,3,-0.776692031
1950,52511,23.29.16 J0116815 *IEF099I JOB G01S663B WAITING FOR DATA SETS,4,3,-0.786803213
1956,52517,02.54.04 CP2B J0198141 *IEF099I JOB C4CARD00 WAITING FOR DATA SETS,4,3,-0.794621605
1962,52523,05.23.21 J0131172 *IEF099I JOB A01S766B WAITING FOR DATA SETS,4,3,-0.772803777
1983,52544,15.37.02 CP2C J0022504 *IEF099I JOB G1214S   WAITING FOR DATA SETS,4,3,-0.812630116
1985,52546,17.01.49 J0004066 *IEF099I JOB SORTSUM2 WAITING FOR DATA SETS,4,3,-0.80393118
1992,52553,"20.56.06 CPKD STC06616  GEO551I MIRRORING STATUS IS NOT OK, HyperSwap is disabled (CPKDA)",4,0,-0.769527387
1996,52557,"21.56.06 CPKD STC06616  GEO551I MIRRORING STATUS IS NOT OK, HyperSwap is disabled (CPKDA)",4,0,-0.778556816
2016,52577,"22.56.06 CPKD STC06616  GEO551I MIRRORING STATUS IS NOT OK, HyperSwap is disabled (CPKDA)",4,0,-0.788945339
2020,52581,"23.56.06 CPKD STC06616  GEO551I MIRRORING STATUS IS NOT OK, HyperSwap is disabled (CPKDA)",4,0,-0.792613285
2022,52583,23.21.16 J0032336 *IEF099I JOB G01S663B WAITING FOR DATA SETS,4,3,-0.770761725
2031,52592,00.27.43 J0034042 *IEF099I JOB SA060000 WAITING FOR DATA SETS,4,3,-0.800186856
2163,52724,"01.05.01 CP3B S0050584  GEO101E Mirroring status is not OK, FREEZE Disabled (CP3BA) 16,818,000  LINES",4,0,-0.814388824
2241,52802,05.31.51 J0057903 *IEF099I JOB A01S766B WAITING FOR DATA SETS,4,3,-0.794490733
2301,52862,10.04.29 J0062000 *IEF099I JOB IXOUTBKX WAITING FOR DATA SETS,4,3,-0.81088456
2315,52876,21.10.51 J0074620 *IEF099I JOB NA100006 WAITING FOR DATA SETS,4,3,-0.777034115
2339,52900,05.43.20 J0110135 *IEF099I JOB G0FSP008 WAITING FOR DATA SETS,4,3,-0.785543561
2381,52942,00.02.41 J0133632 *IEF099I JOB G01S023B WAITING FOR DATA SETS,4,3,-0.770116489
2383,52944,01.30.37 CP2B J0174213 *IEF099I JOB TMZ60000 WAITING FOR DATA SETS,4,3,-0.773007394
2387,52948,03.10.24 J0135009 *IEF099I JOB SA060000 WAITING FOR DATA SETS,4,3,-0.789360908
2396,52957,05.57.41 J0152828  +DBA:BANCS BIG PARTITION TS FOUND!TSINCT PART 110 74.4% INUSE SYSJOB 123 89.1% INUSE,4,7,-0.816521596
2444,53005,01.38.58 CP2A J0043240 *IEF099I JOB TMZ60000 WAITING FOR DATA SETS,4,3,-0.780316258
2452,53013,04.31.36 CP3D J0020376 *IEF099I JOB DEDPDES5 WAITING FOR DATA SETS,4,3,-0.815704198
2453,53014,04.31.32 CP3D J0020368 *IEF099I JOB DEDPG1U4 WAITING FOR DATA SETS,4,3,-0.810144892
2471,53032,07.30.27 J0055992 *IEF099I JOB A01S804B WAITING FOR DATA SETS,4,3,-0.80260301
2476,53037,22.40.22 J0116576 *IEF099I JOB G01S663B WAITING FOR DATA SETS,4,3,-0.813872619
2481,53042,01.15.31 J0129978 *IEF099I JOB G01SAGOC WAITING FOR DATA SETS,4,3,-0.776956736
2485,53046,02.57.38 CP2C J0143699 *IEF099I JOB C4CARD00 WAITING FOR DATA SETS,4,3,-0.80295697
2491,53052,05.22.12 J0148577 *IEF099I JOB A01S804B WAITING FOR DATA SETS,4,3,-0.772444644
2508,53069,07.30.15 J0149622 *IEF099I JOB G01S260B WAITING FOR DATA SETS,4,3,-0.804448812
2509,53070,07.30.08 J0149618 *IEF099I JOB G01S192B WAITING FOR DATA SETS,4,3,-0.810571697
2516,53077,15.12.14 J0177858 *IEF099I JOB SORTSUM2 WAITING FOR DATA SETS,4,3,-0.810552367
2527,53088,21.11.41 J0004082 *IEF099I JOB NA100006 WAITING FOR DATA SETS,4,3,-0.769430874
2533,53094,22.17.16 J0004711 *IEF099I JOB G01S663B WAITING FOR DATA SETS,4,3,-0.778747698
2534,53095,00.34.44 J0016503 *IEF099I JOB SA040000 WAITING FOR DATA SETS,4,3,-0.796318722
2537,53098,01.33.44 CP2A J0181699 *IEF099I JOB TMZ60000 WAITING FOR DATA SETS,4,3,-0.772993215
2544,53105,02.01.42 J0026014 *IEF099I JOB G01S506B WAITING FOR DATA SETS BUFFER POOLS,4,3,-0.808523534
2546,53107,03.31.29 CP2A J0013378 *IEF099I JOB C4CARD01 WAITING FOR DATA SETS,4,3,-0.805968626
2577,53138,16.32.01 J0087371 *IEF099I JOB SEL1109A WAITING FOR DATA SETS,4,3,-0.795934492
2578,53139,16.25.11 J0085988 *IEF099I JOB SEL1109A WAITING FOR DATA SETS,4,3,-0.818204859
2596,53157,22.19.59 J0109283 *IEF099I JOB G01S663B WAITING FOR DATA SETS,4,3,-0.788741196
2612,53173,02.14.47 CP2C J0050239 *IEF099I JOB TMZ60000 WAITING FOR DATA SETS,4,3,-0.769730187
2617,53178,04.12.39 CP2A J0082126 *IEF099I JOB C4CARD00 WAITING FOR DATA SETS,4,3,-0.810569781
2632,53193,06.44.04 CP3D J0180466 *IEF099I JOB DEDPSE31 WAITING FOR DATA SETS,4,3,-0.81730615
2737,53298,21.12.40 J0006897 *IEF099I JOB NA100009 WAITING FOR DATA SETS,4,3,-0.785006615
2744,53305,00.34.46 J0019099 *IEF099I JOB SA040000 WAITING FOR DATA SETS,4,3,-0.802478195
2748,53309,01.23.47 CP2B J0120188 *IEF099I JOB TMZ60000 WAITING FOR DATA SETS,4,3,-0.769588582
2750,53311,"01.05.03 J0023280 *IEF099I JOB SMFMRGCI WAITING FOR DATA SETS DECEMBER 22, 2018",4,3,-0.772245102
2752,53313,02.51.38 CP2C J0151354 *IEF099I JOB C4CARD01 WAITING FOR DATA SETS,4,3,-0.80093121
2811,53372,22.16.28 J0056364 *IEF099I JOB G01S663B WAITING FOR DATA SETS,4,3,-0.785719364
