,message,category
777,"AOF570I 00:00:01 : ISSUED ""MVS S SLOGWR.SLOGWR"" FOR MVSESA SYSLOG 688
",9
778,"AOF570I 00:00:01 : ISSUED ""MVS S SLOGWR.SLOGWR"" FOR MVSESA SYSLOG 867
",9
779,"$HASP100 SA390PRT ON STCINRDR
",5
780,"IEF695I START SLOGWR   WITH JOBNAME SLOGWR   IS ASSIGNED TO USER SLOGWR
",5
781,"IEF695I START SA390PRT WITH JOBNAME SA390PRT IS ASSIGNED TO USER
",5
782,"-JOBNAME  STEPNAME PROCSTEP    RC   EXCP    CPU    SRB  CLOCK   SERV 
",5
783,"$HASP373 SA390PRT STARTED
",9
784,"IKJ144I   UNDEFINED USERID(S) SA390
",5
785,"IEF695I START NV390PRT WITH JOBNAME NV390PRT IS ASSIGNED TO USER
",5
786,"-JOBNAME  STEPNAME PROCSTEP    RC   EXCP    CPU    SRB  CLOCK   SERV 
",5
787,"ERB821I III: 100 OUT OF 100 MONITOR III DATA SET(S) ARE USABLE
",5
788,"IST1394I  CPNAME = BOCHQP.CEBCT00     STATION ID = 020007100000
",0
789,"-JOBNAME  STEPNAME PROCSTEP    RC   EXCP    CPU    SRB  CLOCK   SERV 
",5
790,"IEF695I START SLOGWR   WITH JOBNAME SLOGWR   IS ASSIGNED TO USER SLOGWR
",5
791,"BMC256651I Connection Dataspace has been cleared and ready for reuse.
",5
792,"IEA989I SLIP TRAP ID=X33E MATCHED.  JOBNAME=*UNAVAIL, ASID=0121.
",5
793,"IST1394I  CPNAME = BOCHQP.CXIS12      STATION ID = 02001E810012
",0
794,"-                                         --TIMINGS (MINS.)--          
",5
795,"ICH70001I SYSJOB   LAST ACCESS AT 00:00:03 ON WEDNESDAY, MARCH 13, 2019
",5
796,"-SYSJOB            IEFPROC     00     25    .00    .00    .00    395  
",5
797,"P SLOGWR
",9
798,"ICH70001I SYSJOB   LAST ACCESS AT 23:55:09 ON TUESDAY, MARCH 12, 2019
",5
799,"-SA390PRT          SA390PRT    00  14479    .00    .00    .06   7971  
",5
800,"ICH408I USER(TWSP    ) GROUP(#STCTWS ) NAME(TWS STC             ) 151
",3
801,"-SLOGWR   SLOGWR   OPERWL      00    674    .00    .00    .02   2822  
",5
802,"-SA390PRT ENDED.  NAME-                     TOTAL CPU TIME=   .00 
",5
803,"IST314I  END
",1
804,"$HASP890 JOB(CHKQDEP1) 928
",5
805,"IRR010I  USERID SYSJOB   IS ASSIGNED TO THIS JOB.
",5
806,"-JOBNAME  STEPNAME PROCSTEP    RC   EXCP    CPU    SRB  CLOCK   SERV 
",5
807,"-J#DOUB12          BATCH2      00    121    .00    .00    .06   3656  
",5
808,"$HASP309 INIT 2    INACTIVE ******** C=D
",9
809,"-JOBNAME  STEPNAME PROCSTEP    RC   EXCP    CPU    SRB  CLOCK   SERV 
",5
810,"-                                         --TIMINGS (MINS.)--          
",5
811,"-CHKCP1E  ENDED.  NAME-ORGINFO              TOTAL CPU TIME=   .00 
",5
812,"-NV390PRT ENDED.  NAME-                     TOTAL CPU TIME=   .00 
",5
813,"$HASP395 NV390PRT ENDED - RC=0000
",5
814,"SE '00.00.08 J0100046 $HASP165 CHKCP1C  ENDED AT N1  MAXCC=0000',LOGON,
",5
815,"AOF570I 00:00:08 : ISSUED ""MVS P SLOGWR"" FOR MVSESA MVSESA - 963
",9
816,"$HASP373 SYSJOB   STARTED
",9
817,"IRR010I  USERID SYSJOB   IS ASSIGNED TO THIS JOB.
",5
818,"-JOBNAME  STEPNAME PROCSTEP    RC   EXCP    CPU    SRB  CLOCK   SERV 
",5
819,"IRR010I  USERID SYSJOB   IS ASSIGNED TO THIS JOB.
",5
820,"IEF176I WTR SLOGWR   WAITING FOR WORK, CLASS=L, DEST=LOCAL
",9
821,"$HASP373 CHKDP1C  STARTED - INIT 1    - CLASS C        - SYS CP1C
",9
822,"$HASP309 INIT 1    INACTIVE ******** C=C
",9
823,"$HASP893 VOLUME(CP1SP4)  STATUS=ACTIVE,PERCENT=36
",8
824,"$HASP893 VOLUME(CP1SP0)  STATUS=ACTIVE,PERCENT=36
",8
825,"ICH70001I SYSJOB   LAST ACCESS AT 00:00:08 ON WEDNESDAY, MARCH 13, 2019
",5
826,"-CHKDP3C  ENDED.  NAME-ORGINFO              TOTAL CPU TIME=   .00 
",5
827,"DLM41VT2   03/13/2019 00:00:08 vte2 VT: DLm0440I: Device 0D12 Scratch
",4
828,"IEF176I WTR SLOGWR   WAITING FOR WORK, CLASS=L, DEST=LOCAL
",9
829,"$HASP373 CHKDPW1  STARTED - INIT 3    - CLASS D        - SYS CP1D
",9
830,"-CHKDP2C  ENDED.  NAME-ORGINFO              TOTAL CPU TIME=   .00 
",5
831,"-CHKQDEP1          QDEP        00    151    .00    .00    .00    769  
",5
832,"$HASP309 INIT 3    INACTIVE ******** C=D
",9
833,"-J#DOUB12          BATCH3      00    125    .00    .00    .05   3024  
",5
834,"$HASP373 CHKQDEP2 STARTED - INIT 2    - CLASS F        - SYS CP1F
",9
835,"-JOBNAME  STEPNAME PROCSTEP    RC   EXCP    CPU    SRB  CLOCK   SERV 
",5
836,"-JOBNAME  STEPNAME PROCSTEP    RC   EXCP    CPU    SRB  CLOCK   SERV 
",5
837,"-CHKCP1F           STEP010     00    172    .00    .00    .00    940  
",5
838,"IST1394I  CPNAME = BOCHQP.CCIES01     STATION ID = 020000000000
",0
839,"$HASP373 SYSJOB   STARTED
",9
840,"$HASP395 SYSJOB   ENDED - RC=0000
",5
841,"IEF234E K 082F,K30844,PVT,SLOGWR,SLOGWR - RACK=K30844
",5
842,"IEF196I IGD103I SMS ALLOCATED TO DDNAME SYS21663
",5
843,"IEF196I DDNAME=SYS21665
",5
844,"IEF196I IGD104I NV.SYSTEM.DA190312.TI021352.IEA405E          RETAINED,
",5
845,"IEF196I IGD103I SMS ALLOCATED TO DDNAME SYS21671
",5
846,"IEF196I DDNAME=SYS21673
",5
847,"IEF196I IGD104I NV.SYSTEM.DA190312.TI042725.IEA405E          RETAINED,
",5
848,"IEF196I IGD103I SMS ALLOCATED TO DDNAME SYS21679
",5
849,"IEF196I DDNAME=SYS21681
",5
850,"IEF196I IGD103I SMS ALLOCATED TO DDNAME SYS21684
",5
851,"IEF234E K 060E,K31166,PVT,SLOGWR,SLOGWR - RACK=K31166
",5
852,"IEF196I DDNAME=SYS21687
",5
853,"IEF196I IGD103I SMS ALLOCATED TO DDNAME SYS21690
",5
854,"IEF196I DDNAME=SYS21692
",5
855,"IEF196I IGD103I SMS ALLOCATED TO DDNAME SYS21695
",5
856,"IEF196I DDNAME=SYS21697
",5
857,"IEF196I DDNAME=SYS21699
",5
858,"IEF196I IGD103I SMS ALLOCATED TO DDNAME SYS21702
",5
859,"IEF196I DDNAME=SYS21704
",5
860,"-JCPSMCHK          BBS         00    139    .00    .00    .00   2793  
",5
861,"IEF196I IGD104I NV.SYSTEM.DA190312.TI095641.IEA405E          RETAINED,
",5
862,"ICH408I USER(TWSP    ) GROUP(#STCTWS ) NAME(TWS STC             ) 209
",3
863,"IEF196I DDNAME=SYS21712
",5
864,"IEF196I IGD103I SMS ALLOCATED TO DDNAME SYS21715
",5
865,"IEF196I IGD104I NV.SYSTEM.DA190312.TI100836.IEA405E          RETAINED,
",5
866,"IEF196I DDNAME=SYS21717
",5
867,"IEF196I IGD104I NV.SYSTEM.DA190312.TI101645.IEA405E          RETAINED,
",5
868,"IEF196I IGD103I SMS ALLOCATED TO DDNAME SYS21722
",5
869,"IEF196I DDNAME=SYS21724
",5
870,"ICH408I USER(TWSP    ) GROUP(#STCTWS ) NAME(TWS STC             ) 210
",3
871,"IST314I  END
",1
872,"ICH408I USER(TWSP    ) GROUP(#STCTWS ) NAME(TWS STC             ) 214
",3
873,"IST680I  CONNECTION REQUEST DENIED - ID = CSWHW00  PU GEN NOT SUPPORTED
",6
874,"SVO5057I CURRENT DATE IS WED, MAR 13, 2019
",5
875,"+DFHIC0801  CIP1KA23 CICS time altered from 23.59.599 to 00.00.000 -
",5
876,"+DFHIC0801  CIP1KA13 CICS time altered from 24.00.000 to 00.00.000 -
",5
877,"+DFHIC0801  CIP1KT34 CICS time altered from 24.00.000 to 00.00.000 -
",5
878,"+DFHIC0801  CIP1FA42 CICS time altered from 24.00.000 to 00.00.000 -
",5
879,"+DFHIC0801  CIP1KA25 CICS time altered from 24.00.000 to 00.00.000 -
",5
880,"+DFHIC0801  CIP1KA36 CICS time altered from 24.00.000 to 00.00.000 -
",5
881,"+DFHIC0801  CIP1KA15 CICS time altered from 24.00.000 to 00.00.000 -
",5
882,"$HASP100 BACKUPDB ON INTRDR                            FROM S0092182
",5
883,"+DFHIC0801  CIP1MM11 CICS time altered from 24.00.000 to 00.00.001 -
",5
884,"+DFHIC0801  CIP1FA22 CICS time altered from 24.00.000 to 00.00.001 -
",5
885,"+DFHIC0801  CIP1AA21 CICS time altered from 24.00.000 to 00.00.001 -
",5
886,"S SA390PRT,I=NV.SYSTEM.CP1FA.DSILOGP,O=NV.SYSTEM.CP1FA.LOG(+1)
",5
887,"S SA390PRT,I=NV.SYSTEM.CP1CA.DSILOGS,O=NV.SYSTEM.CP1CA.LOG(+1)
",5
888,"SVO5057I CURRENT DATE IS WED, MAR 13, 2019
",5
889,"$HASP373 SYSJOB   STARTED
",9
890,"EQQE037I JOB DMSEND  (        ), OPERATION(0255), IN APPLICATION 268
",5
891,"EQQE037I JOB EPOSEND1(        ), OPERATION(0255), IN APPLICATION 272
",5
892,"ICH408I USER(TWSP    ) GROUP(#STCTWS ) NAME(TWS STC             ) 109
",3
893,"-JOBNAME  STEPNAME PROCSTEP    RC   EXCP    CPU    SRB  CLOCK   SERV 
",5
894,"-BACKUPDB          STEP1       00    145    .00    .00    .01   1309  
",5
895,"WRITELOG L
",5
896,"IEE043I A SYSTEM LOG DATA SET HAS BEEN QUEUED TO SYSOUT CLASS L
",5
897,"IEE042I SYSTEM LOG DATA SET INITIALIZED
",5
898,"IEF196I IEF285I   +MASTER+.SYSLOG.S0092117.D0000194.?          SYSOUT
",5
899,"AOF589I 00:00:01 : RECOVERY FOR MINRES MVSESA.SYSLOG CONTINUING - 161
",9
900,"AOF570I 00:00:01 : ISSUED ""MVS S SLOGWR.SLOGWR"" FOR MVSESA SYSLOG 674
",9
901,"S SLOGWR.SLOGWR
",9
902,"$HASP100 NV390PRT ON STCINRDR
",5
903,"$HASP373 SA390PRT STARTED
",9
904,"$HASP100 NV390PRT ON STCINRDR
",5
905,"-                                         --TIMINGS (MINS.)--          
",5
906,"IEF695I START SA390PRT WITH JOBNAME SA390PRT IS ASSIGNED TO USER
",5
907,"$HASP309 INIT 11   INACTIVE ******** C=AS
",9
908,"IEF695I START SA390PRT WITH JOBNAME SA390PRT IS ASSIGNED TO USER
",5
909,"-                                         --TIMINGS (MINS.)--          
",5
910,"$HASP373 TCDBDALY STARTED - INIT 1    - CLASS A        - SYS CP1A
",9
911,"IST680I  CONNECTION REQUEST DENIED - ID = CEBCT00  PU GEN NOT SUPPORTED
",6
912,"-                                         --TIMINGS (MINS.)--          
",5
913,"$HASP373 J#DOUB12 STARTED - INIT 1    - CLASS D        - SYS CP1D
",9
914,"-J#DOUB12          BATCH1      00    107    .00    .00    .00   2420  
",5
915,"CNZZ032E SPECIFIC MESSAGE RATE ACCEPTABLE.       8 MESSAGES ACTED UPON.
",5
916,"IST680I  CONNECTION REQUEST DENIED - ID = CXIS12   PU GEN NOT SUPPORTED
",6
917,"IEF301I SLOGWR   WTR CLOSED
",5
918,"@SLS6894I M 05D3,210145,SL,,VTSSD,SWSRDSMG,HSHHW4
",5
919,"-JOBNAME  STEPNAME PROCSTEP    RC   EXCP    CPU    SRB  CLOCK   SERV 
",5
920,"IEF176I WTR SLOGWR   WAITING FOR WORK, CLASS=L, DEST=LOCAL
",9
921,"IEC501A M 0812,PRIVAT,SL,COMP,SLOGWR,SLOGWR,BACKUPP1.SLOG.CP1F.Y190313.T
",5
922,"-JOBNAME  STEPNAME PROCSTEP    RC   EXCP    CPU    SRB  CLOCK   SERV 
",5
923,"@SLS6894I M 05B1,205312,SL,,VTSSG,SWSRDSMG,HSHPROD4
",5
924,"IEF234E K 0812,K28657,PVT,SLOGWR,SLOGWR - RACK=K28657
",5
925,"-SA390PRT          SA390PRT    00  15620    .00    .00    .06  12155  
",5
926,"IST081I  LINE NAME = LEE18B  , LINE GROUP = GRP1B   , MAJNOD = CP1BXCE0
",2
927,"@SLS6894I M 05D5,000987,SL,,VTSSD,SWSRDSMG,HSHTEST
",5
928,"$HASP100 CHKCP1C  ON INTRDR      ORGINFO               FROM S0100045
",5
929,"-                                         --TIMINGS (MINS.)--          
",5
930,"$HASP373 CHKCP1D  STARTED - INIT 2    - CLASS D        - SYS CP1D
",9
931,"SE '00.00.06 J0100047 $HASP165 CHKCP1D  ENDED AT N1  MAXCC=0000',LOGON,
",5
932,"-                                         --TIMINGS (MINS.)--          
",5
933,"$HASP373 CHKCP1E  STARTED - INIT 1    - CLASS E        - SYS CP1E
",9
934,"-CHKCP1E           STEP020     00    132    .00    .00    .00   1010  
",5
935,"-NV390PRT          NV390PRT    00  22629    .00    .00    .10  12345  
",5
936,"-NV390PRT ENDED.  NAME-                     TOTAL CPU TIME=   .00 
",5
937,"$HASP309 INIT 1    INACTIVE ******** C=C
",9
938,"P SLOGWR
",9
939,"IEF695I START SYSJOB   WITH JOBNAME SYSJOB   IS ASSIGNED TO USER SYSJOB
",5
940,"$HASP100 CHKDP1C  ON INTRDR      ORGINFO               FROM S0100053
",5
941,"-                                         --TIMINGS (MINS.)--          
",5
942,"$HASP100 CHKDP4C  ON INTRDR      ORGINFO               FROM S0100053
",5
943,"IEA989I SLIP TRAP ID=X33E MATCHED.  JOBNAME=*UNAVAIL, ASID=00AC.
",5
944,"ICH70001I SYSJOB   LAST ACCESS AT 00:00:08 ON WEDNESDAY, MARCH 13, 2019
",5
945,"IEC501A M 082F,PRIVAT,SL,COMP,SLOGWR,SLOGWR,BACKUPP1.SLOG.CP1A.Y190313.T
",5
946,"$HASP893 VOLUME(CP1SP7)  STATUS=ACTIVE,PERCENT=36
",8
947,"$HASP893 VOLUME(CP1SPC)  STATUS=ACTIVE,PERCENT=36
",8
948,"$HASP373 CHKDPW2  STARTED - INIT 1    - CLASS E        - SYS CP1E
",9
949,"-CHKDP3C           STEP010     00    132    .00    .00    .00    958  
",5
950,"DLM41VT2   03/13/2019 00:00:08 vte2 VT: DLm0405I: Device 0D12 Display:
",4
951,"IEA989I SLIP TRAP ID=X33E MATCHED.  JOBNAME=*UNAVAIL, ASID=0104.
",5
952,"ICH70001I SYSJOB   LAST ACCESS AT 00:00:09 ON WEDNESDAY, MARCH 13, 2019
",5
953,"-CHKDP2C           STEP010     00    131    .00    .00    .00    864  
",5
954,"-JOBNAME  STEPNAME PROCSTEP    RC   EXCP    CPU    SRB  CLOCK   SERV 
",5
955,"$HASP395 CHKQDEP1 ENDED - RC=0000
",5
956,"IRR010I  USERID SYSJOB   IS ASSIGNED TO THIS JOB.
",5
957,"ICH70001I SYSJOB   LAST ACCESS AT 00:00:10 ON WEDNESDAY, MARCH 13, 2019
",5
958,"-                                         --TIMINGS (MINS.)--          
",5
959,"-                                         --TIMINGS (MINS.)--          
",5
960,"-JOBNAME  STEPNAME PROCSTEP    RC   EXCP    CPU    SRB  CLOCK   SERV 
",5
961,"IST680I  CONNECTION REQUEST DENIED - ID = CCIES01  PU GEN NOT SUPPORTED
",6
962,"IEF695I START SYSJOB   WITH JOBNAME SYSJOB   IS ASSIGNED TO USER SYSJOB
",5
963,"-SYSJOB   ENDED.  NAME-                     TOTAL CPU TIME=   .00 
",5
964,"IEC205I SYSUT2,SLOGWR,SLOGWR,FILESEQ=1, COMPLETE VOLUME LIST, 387
",5
965,"IEF196I DDNAME=SYS21662
",5
966,"IEF196I IGD104I NV.SYSTEM.DA190311.TI224328.IEA405E          RETAINED,
",5
967,"IEF196I IGD103I SMS ALLOCATED TO DDNAME SYS21668
",5
968,"IEF196I DDNAME=SYS21670
",5
969,"IEF196I IGD104I NV.SYSTEM.DA190312.TI042118.IEA405E          RETAINED,
",5
970,"IEF196I IGD103I SMS ALLOCATED TO DDNAME SYS21676
",5
971,"IEF196I DDNAME=SYS21678
",5
972,"IEF196I IGD104I NV.SYSTEM.DA190312.TI043315.IEA405E          RETAINED,
",5
973,"IEF196I DDNAME=SYS21683
",5
974,"IEF196I IGD103I SMS ALLOCATED TO DDNAME SYS21686
",5
975,"IEF196I IGD104I NV.SYSTEM.DA190312.TI092127.IEA405E          RETAINED,
",5
976,"IEF196I DDNAME=SYS21689
",5
977,"IEF196I IGD104I NV.SYSTEM.DA190312.TI093055.IEA405E          RETAINED,
",5
978,"ICH408I USER(TWSP    ) GROUP(#STCTWS ) NAME(TWS STC             ) 206
",3
979,"IEF196I IGD104I NV.SYSTEM.DA190312.TI094228.IEA405E          RETAINED,
",5
980,"IEF196I IGD104I NV.SYSTEM.DA190312.TI094528.IEA405E          RETAINED,
",5
981,"IEF196I DDNAME=SYS21701
",5
982,"IEF196I IGD104I NV.SYSTEM.DA190312.TI095154.IEA405E          RETAINED,
",5
983,"-JOBNAME  STEPNAME PROCSTEP    RC   EXCP    CPU    SRB  CLOCK   SERV 
",5
984,"IEF196I IGD103I SMS ALLOCATED TO DDNAME SYS21708
",5
985,"IEF196I DDNAME=SYS21710
",5
986,"IEF196I IGD104I NV.SYSTEM.DA190312.TI100125.IEA405E          RETAINED,
",5
987,"IEF196I DDNAME=SYS21714
",5
988,"IEF196I IGD103I SMS ALLOCATED TO DDNAME SYS21716
",5
989,"IEF196I IGD104I NV.SYSTEM.DA190312.TI101132.IEA405E          RETAINED,
",5
990,"IEF196I IGD103I SMS ALLOCATED TO DDNAME SYS21719
",5
991,"IEF196I DDNAME=SYS21721
",5
992,"IEF196I IGD104I NV.SYSTEM.DA190312.TI102506.IEA405E          RETAINED,
",5
993,"IEA989I SLIP TRAP ID=X33E MATCHED.  JOBNAME=*UNAVAIL, ASID=00E3.
",5
994,"IST081I  LINE NAME = LEE1E0  , LINE GROUP = GRP1A   , MAJNOD = CP1AXCE0
",2
995,"ICH408I USER(TWSP    ) GROUP(#STCTWS ) NAME(TWS STC             ) 213
",3
996,"IST314I  END
",1
997,"IST680I  CONNECTION REQUEST DENIED - ID = CEBCT01  PU GEN NOT SUPPORTED
",6
998,"IST314I  END
",1
999,"IST1394I  CPNAME = BOCHQP.CEBCT01     STATION ID = 020007100000
",0
1000,"IST081I  LINE NAME = LEE1E0  , LINE GROUP = GRP1A   , MAJNOD = CP1AXCE0
",2
1001,"IST314I  END
",1
1002,"-TCDBDALY          LISTCAT     00    348    .00    .00    .08  17647  
",5
1003,"ICH408I USER(TWSP    ) GROUP(#STCTWS ) NAME(TWS STC             ) 216
",3
1004,"-                                         --TIMINGS (MINS.)--          
",5
1005,"-JOBNAME  STEPNAME PROCSTEP    RC   EXCP    CPU    SRB  CLOCK   SERV 
",5
1006,"-QREPREXX          STEP1       00    236    .00    .00    .23  35920  
",5
1007,"-QREPREXX ENDED.  NAME-BOC                  TOTAL CPU TIME=   .00 
",5
1008,"$HASP395 QREPREXX ENDED - RC=0000
",5
1009,"SE '00.00.18 J0100044 $HASP165 QREPREXX ENDED AT N1  MAXCC=0000',LOGON,
",5
1010,"$HASP309 INIT 1    INACTIVE ******** C=B
",9
1011,"IKJ144I   UNDEFINED USERID(S) SYSJOB
",5
1012,"ICH408I USER(TWSP    ) GROUP(#STCTWS ) NAME(TWS STC             ) 217
",3
1013,"ICH408I USER(TWSP    ) GROUP(#STCTWS ) NAME(TWS STC             ) 218
",3
1014,"IEE252I MEMBER GEOHCP00 FOUND IN SYS1.PLEXP1.ZOS203.PARMLIB
",5
1015,"IEE252I MEMBER GEOHCP00 FOUND IN SYS1.PLEXP1.ZOS203.PARMLIB
",5
1016,"IEE252I MEMBER GEOHCP00 FOUND IN SYS1.PLEXP1.ZOS203.PARMLIB
",5
1017,"IEE252I MEMBER GEOHCP00 FOUND IN SYS1.PLEXP1.ZOS203.PARMLIB
",5
1018,"-                                         --TIMINGS (MINS.)--          
",5
1019,"-JOBNAME  STEPNAME PROCSTEP    RC   EXCP    CPU    SRB  CLOCK   SERV 
",5
1020,"-CHKTFJCL          BRSLG1      00  41718    .04    .00    .19   197K  
",5
1021,"-CHKTFJCL ENDED.  NAME-                     TOTAL CPU TIME=   .04 
",5
1022,"$HASP395 CHKTFJCL ENDED - RC=0000
",5
1023,"$HASP309 INIT 11   INACTIVE ******** C=FS
",9
1024,"IST680I  CONNECTION REQUEST DENIED - ID = CEBCT01  PU GEN NOT SUPPORTED
",6
1025,"IST1394I  CPNAME = BOCHQP.CEBCT01     STATION ID = 020007100000
",0
1026,"IST081I  LINE NAME = LEE18B  , LINE GROUP = GRP1B   , MAJNOD = CP1BXCE0
",2
1027,"IST314I  END
",1
1028,"IST680I  CONNECTION REQUEST DENIED - ID = CEBCT01  PU GEN NOT SUPPORTED
",6
1029,"IST1394I  CPNAME = BOCHQP.CEBCT01     STATION ID = 020007100000
",0
1030,"IST081I  LINE NAME = LEE18B  , LINE GROUP = GRP1B   , MAJNOD = CP1BXCE0
",2
1031,"IST314I  END
",1
1032,"IEF196I IGD101I SMS ALLOCATED TO DDNAME (CANZLOG )
",5
1033,"IEF196I         DSN (NV.SYSTEM.CANZLOG.CP1BA.CZ190312.T080014    )
",5
1034,"IEF196I         STORCLAS (SCSTD) MGMTCLAS (        ) DATACLAS (        )
",5
1035,"IEF196I         VOL SER NOS= CP1SA4
",5
1036,"IEF196I IGD104I NV.SYSTEM.CANZLOG.CP1BA.CZ190312.T080014     RETAINED,
",5
1037,"IEF196I DDNAME=CANZLOG
",5
1038,"IEF196I IGD103I SMS ALLOCATED TO DDNAME SYS28789
",5
1039,"IEF196I IGD104I NV.SYSTEM.CANZLOG.CP1BA.CZ190312.T080014     RETAINED,
",5
1040,"IEF196I DDNAME=SYS28789
",5
1041,"IEF196I IGD103I SMS ALLOCATED TO DDNAME SYS28790
",5
1042,"IEF196I IGD104I NV.SYSTEM.CANZLOG.CP1BA.DX190210.HR05MN15    RETAINED,
",5
1043,"IEF196I DDNAME=SYS28790
",5
1044,"IST680I  CONNECTION REQUEST DENIED - ID = CCIES01  PU GEN NOT SUPPORTED
",6
1045,"IST1394I  CPNAME = BOCHQP.CCIES01     STATION ID = 020000000000
",0
1046,"IST081I  LINE NAME = LEE18B  , LINE GROUP = GRP1B   , MAJNOD = CP1BXCE0
",2
1047,"IST314I  END
",1
1048,"IST680I  CONNECTION REQUEST DENIED - ID = CCIES01  PU GEN NOT SUPPORTED
",6
1049,"IST1394I  CPNAME = BOCHQP.CCIES01     STATION ID = 020000000000
",0
1050,"IST081I  LINE NAME = LEE18B  , LINE GROUP = GRP1B   , MAJNOD = CP1BXCE0
",2
1051,"IST314I  END
",1
1052,"IST680I  CONNECTION REQUEST DENIED - ID = CSWHW01  PU GEN NOT SUPPORTED
",6
1053,"IST1394I  CPNAME = BOCHQP.CSWHW01     STATION ID = 020000000000
",0
1054,"IST081I  LINE NAME = LEE18B  , LINE GROUP = GRP1B   , MAJNOD = CP1BXCE0
",2
1055,"IST680I  CONNECTION REQUEST DENIED - ID = CSWHW01  PU GEN NOT SUPPORTED
",6
1056,"IST314I  END
",1
1057,"IST680I  CONNECTION REQUEST DENIED - ID = CSWHW01  PU GEN NOT SUPPORTED
",6
1058,"IST1394I  CPNAME = BOCHQP.CSWHW01     STATION ID = 020000000000
",0
1059,"IST081I  LINE NAME = LEE1E0  , LINE GROUP = GRP1A   , MAJNOD = CP1AXCE0
",2
1060,"IST1394I  CPNAME = BOCHQP.CSWHW01     STATION ID = 020000000000
",0
1061,"IST314I  END
",1
1062,"IST081I  LINE NAME = LEE18B  , LINE GROUP = GRP1B   , MAJNOD = CP1BXCE0
",2
1063,"IST314I  END
",1
1064,"ICH408I USER(TWSP    ) GROUP(#STCTWS ) NAME(TWS STC             ) 223
",3
1065,"ICH408I USER(TWSP    ) GROUP(#STCTWS ) NAME(TWS STC             ) 224
",3
1066,"ICH408I USER(TWSP    ) GROUP(#STCTWS ) NAME(TWS STC             ) 225
",3
1067,"ICH408I USER(TWSP    ) GROUP(#STCTWS ) NAME(TWS STC             ) 226
",3
1068,"ICH408I USER(TWSP    ) GROUP(#STCTWS ) NAME(TWS STC             ) 227
",3
1069,"IST680I  CONNECTION REQUEST DENIED - ID = CXIS12   PU GEN NOT SUPPORTED
",6
1070,"IST1394I  CPNAME = BOCHQP.CXIS12      STATION ID = 02001E810012
",0
1071,"IST081I  LINE NAME = LEE1E0  , LINE GROUP = GRP1A   , MAJNOD = CP1AXCE0
",2
1072,"IST314I  END
",1
1073,"IST680I  CONNECTION REQUEST DENIED - ID = CXIS12   PU GEN NOT SUPPORTED
",6
1074,"IST1394I  CPNAME = BOCHQP.CXIS12      STATION ID = 02001E810012
",0
1075,"IST081I  LINE NAME = LEE1E0  , LINE GROUP = GRP1A   , MAJNOD = CP1AXCE0
",2
1076,"IST314I  END
",1
1077,"-                                         --TIMINGS (MINS.)--          
",5
1078,"-JOBNAME  STEPNAME PROCSTEP    RC   EXCP    CPU    SRB  CLOCK   SERV 
",5
1079,"-SA390PRT          SA390PRT    00   107K    .00    .00    .47  58211  
",5
1080,"-SA390PRT ENDED.  NAME-                     TOTAL CPU TIME=   .00 
",5
1081,"$HASP395 SA390PRT ENDED - RC=0000
",5
1082,"IEA989I SLIP TRAP ID=X33E MATCHED.  JOBNAME=*UNAVAIL, ASID=0140.
",5
1083,"-                                         --TIMINGS (MINS.)--          
",5
1084,"-JOBNAME  STEPNAME PROCSTEP    RC   EXCP    CPU    SRB  CLOCK   SERV 
",5
1085,"-SA390PRT          SA390PRT    00   109K    .00    .00    .46  60768  
",5
1086,"-SA390PRT ENDED.  NAME-                     TOTAL CPU TIME=   .00 
",5
1087,"$HASP395 SA390PRT ENDED - RC=0000
",5
1088,"IEA989I SLIP TRAP ID=X33E MATCHED.  JOBNAME=*UNAVAIL, ASID=011B.
",5
1089,"-                                         --TIMINGS (MINS.)--          
",5
1090,"-JOBNAME  STEPNAME PROCSTEP    RC   EXCP    CPU    SRB  CLOCK   SERV 
",5
1091,"-SA390PRT          SA390PRT    00   108K    .00    .00    .48  52578  
",5
1092,"-SA390PRT ENDED.  NAME-                     TOTAL CPU TIME=   .00 
",5
1093,"$HASP395 SA390PRT ENDED - RC=0000
",5
1094,"IEA989I SLIP TRAP ID=X33E MATCHED.  JOBNAME=*UNAVAIL, ASID=012F.
",5
1095,"-TCDBDALY          LISTALL     00   5924    .02    .00    .21   135K  
",5
1096,"-DP11 DIS THREAD(*) TYPE(INDOUBT)
",5
1097,"DSNV401I  -DP11 DISPLAY THREAD REPORT FOLLOWS -
",5
1098,"DSNV420I  -DP11 NO INDOUBT THREADS FOUND
",5
1099,"DSN9022I  -DP11 DSNVDT '-DIS THREAD' NORMAL COMPLETION
",5
1100,"@SLS6643I MVC 210145 MOUNTED ON DRIVE RTD05D3
",5
1101,"-                                         --TIMINGS (MINS.)--          
",5
1102,"-JOBNAME  STEPNAME PROCSTEP    RC   EXCP    CPU    SRB  CLOCK   SERV 
",5
1103,"-SA390PRT          SA390PRT    00   121K    .00    .00    .50  65210  
",5
1104,"-SA390PRT ENDED.  NAME-                     TOTAL CPU TIME=   .00 
",5
1105,"$HASP395 SA390PRT ENDED - RC=0000
",5
1106,"IEA989I SLIP TRAP ID=X33E MATCHED.  JOBNAME=*UNAVAIL, ASID=0153.
",5
1107,"-DP21 DIS THREAD(*) TYPE(INDOUBT)
",5
1108,"DSNV401I  -DP21 DISPLAY THREAD REPORT FOLLOWS -
",5
