,message,category
75,"IEC705I TAPE ON 082F,K30844,SL,COMP,SLOGWR,SLOGWR,BACKUPP1.SLOG.CP1A.Y19
",5
76,"-SLOGWR   ENDED.  NAME-                     TOTAL CPU TIME=   .00 
",5
77,"ICH70001I SYSJOB   LAST ACCESS AT 00:00:08 ON WEDNESDAY, MARCH 13, 2019
",5
78,"-                                         --TIMINGS (MINS.)--          
",5
79,"IEC501A M 0601,PRIVAT,SL,COMP,SLOGWR,SLOGWR,BACKUPP1.SLOG.CP1D.Y190313.T
",5
80,"-CHKDPW1  ENDED.  NAME-ORGINFO              TOTAL CPU TIME=   .00 
",5
81,"IKJ144I   UNDEFINED USERID(S) SYSJOB
",5
82,"IST314I  END
",1
83,"$HASP100 CHKTFJCL ON INTRDR                            FROM S0100062
",5
84,"IEA989I SLIP TRAP ID=X33E MATCHED.  JOBNAME=*UNAVAIL, ASID=011E.
",5
85,"SE '00.00.10 J0100056 $HASP165 CHKQDEP2 ENDED AT N1  MAXCC=0000',LOGON,
",5
86,"IST081I  LINE NAME = LEE1E0  , LINE GROUP = GRP1A   , MAJNOD = CP1AXCE0
",2
87,"ICH70001I SYSJOB   LAST ACCESS AT 00:00:09 ON WEDNESDAY, MARCH 13, 2019
",5
88,"-JOBNAME  STEPNAME PROCSTEP    RC   EXCP    CPU    SRB  CLOCK   SERV 
",5
89,"ICH408I USER(TWSP    ) GROUP(#STCTWS ) NAME(TWS STC             ) 203
",3
90,"IEF196I IGD103I SMS ALLOCATED TO DDNAME SYS21662
",5
91,"IEF196I DDNAME=SYS21664
",5
92,"IEF196I IGD104I NV.SYSTEM.DA190312.TI021250.IEA405E          RETAINED,
",5
93,"IEF196I IGD103I SMS ALLOCATED TO DDNAME SYS21670
",5
94,"IEF196I DDNAME=SYS21672
",5
95,"IEF196I IGD104I NV.SYSTEM.DA190312.TI042618.IEA405E          RETAINED,
",5
96,"IEF196I IGD103I SMS ALLOCATED TO DDNAME SYS21678
",5
97,"IEF196I DDNAME=SYS21680
",5
98,"ICH408I USER(TWSP    ) GROUP(#STCTWS ) NAME(TWS STC             ) 204
",3
99,"IEF196I IGD104I NV.SYSTEM.DA190312.TI091302.IEA405E          RETAINED,
",5
100,"IEF196I DDNAME=SYS21686
",5
101,"ICH408I USER(TWSP    ) GROUP(#STCTWS ) NAME(TWS STC             ) 205
",3
102,"IEF196I DDNAME=SYS21691
",5
103,"IEF196I IGD104I NV.SYSTEM.DA190312.TI093241.IEA405E          RETAINED,
",5
104,"IEF196I DDNAME=SYS21696
",5
105,"ICH70001I SYSJOB   LAST ACCESS AT 00:00:11 ON WEDNESDAY, MARCH 13, 2019
",5
106,"IEF196I IGD103I SMS ALLOCATED TO DDNAME SYS21701
",5
107,"IEF196I DDNAME=SYS21703
",5
108,"IEF196I IGD103I SMS ALLOCATED TO DDNAME SYS21706
",5
109,"IEF196I IGD104I NV.SYSTEM.DA190312.TI095510.IEA405E          RETAINED,
",5
110,"IEF196I IGD103I SMS ALLOCATED TO DDNAME SYS21710
",5
111,"ICH70001I SYSJOB   LAST ACCESS AT 00:00:11 ON WEDNESDAY, MARCH 13, 2019
",5
