,id,summary,risk
57,50618,"10.42.16 CP2C S0119535  DSNP007I  -DP71 DSNPXTN0 - EXTEND FAILED FOR DSNDP01S.DSNDBD.DP71WORK.DSN32K01.I0001.A002. RC=00D70002 -            CONNECTION-ID=BATCH, CORRELATION-ID=XXN2911S, -            LUW-ID=DSNDP01.DP71APPL.D54D4D8",176.7753343
2303,52864,12.23.01 S0093013  DSNR035I  -DP31 DSNRPBCW WARNING - UNCOMMITTED UR AFTER 3 CHECKPOINTS - CORRELATION NAME = NS200035 -           LUWID = BOCHQP.DP31APPL.D56180260E66 = 132122 -           PLAN NAME = DSNUTIL -           AUTHID =,169.5345684
3789,54350,"E2E:2018-12-25 20:07:18,477 ERROR - [data.proc.main] 应锟矫筹拷锟斤拷锟斤拷锟斤拷锟斤拷锟斤拷锟杰斤拷锟斤拷锟斤拷锟接★拷",162.8636297
3782,54343,"E2E:2018-12-25 20:07:18,407 ERROR - [data.proc.get.SystemTxindView] 应锟矫筹拷锟斤拷锟斤拷锟斤拷锟斤拷锟斤拷锟杰斤拷锟斤拷锟斤拷锟接★拷",156.6977993
2514,53075,"11.18.15 CP2B S0103662  DSNP007I  -DP61 DSNPXTN0 - EXTEND FAILED FOR DSNDP01S.DSNDBD.DP61WORK.DSN32K20.I0001.A001. RC=00D70027 -            CONNECTION-ID=BATCH, CORRELATION-ID=XREF, -            LUW-ID=DSNDP01.DP61APPL.D5667B08719",150.9818012
4085,54646,"18.44.29 J0095306 *IEF099I JOB SENDHSKP WAITING FOR DATA SETS Scratch of volume UH0427 requested by host via device 0D1D, dsn='.BKINCTC.CA160414'",145.6681413
4109,54670,"04.32.05 CP3D J0153076 *IEF099I JOB DEDPG1S5 WAITING FOR DATA SETS COMPLETE VOLUME LIST, DSN=BKYP.L.A.AB.TSINXP.P00002.D181227.H20,VOLS=D56203,TOTALBLOCKS=5",140.715784
2978,53539,"E2E: 19.59.27 CP3A S0018081  BPXM023I (STCTVLI) ILGDC08E:socket reconnect failed,ThreadId:1        端到端主机Log DC重连Socket失败，Log DC线程退出。",136.0890908
874,51435,"10.25.03 CP1D J0070666 *IEF099I JOB G02S121B WAITING FOR DATA SETS Scratch of volume WP5208 requested by host via device 02AD, dsn='TXNH.CA160117.H20'",131.7569611
1249,51810,02.58.53 CP1F S0177983  IST1196I APPN CONNECTION FOR BOCHQP.SSCPCP1B INACTIVE - TGN = 21,127.6921321
