,0,summary
50605,1.444972739,05.07.19 CP1C J0158023  +DBA:BANCS BIG SEGMENT TS FOUND!TSLMVU HAS 20 DATASETS(MAX 32) SYSJOB
50606,1.536711458,05.07.19 CP1C J0158023  +DBA:BANCS BIG SEGMENT TS FOUND!TSSPYO HAS 25 DATASETS(MAX 32) SYSJOB
50607,2.537063096,05.05.54 CP1C J0158023  +DBA:BANCS BIG PARTITION TS FOUND!TSGECT PART 126 72.9% INUSE SYSJOB
50608,2.407215622,05.05.55 CP1C J0158023  +DBA:BANCS BIG PARTITION TS FOUND!TSGECT PART 159 71.6% INUSE SYSJOB
50609,2.541737085,05.05.55 CP1C J0158023  +DBA:BANCS BIG PARTITION TS FOUND!TSGECT PART 251 78.6% INUSE SYSJOB
50610,2.288745956,05.05.56 CP1C J0158023  +DBA:BANCS BIG PARTITION TS FOUND!TSGECT PART 252 70.1% INUSE SYSJOB
50611,2.414236142,05.05.54 CP1C J0158023  +DBA:BANCS BIG PARTITION TS FOUND!TSGECT PART 98 77.5% INUSE SYSJOB PART 126 72.9% INUSE
50612,1.597814156,05.04.12 CP1D J0158099  +DBA:EISS BIG SEGMENT TS FOUND!CGEN245P HAS 23 DATASETS(MAX 32) SYSJOB
50613,1.188202183,05.04.12 CP1D J0158099  +DBA:EISS BIG SEGMENT TS FOUND!CGEN246P HAS 21 DATASETS(MAX 32) SYSJOB
50614,1.317559587,05.04.12 CP1D J0158099  +DBA:EISS BIG SEGMENT TS FOUND!CGEN263P HAS 22 DATASETS(MAX 32) SYSJOB
50615,1.265589044,05.04.12 CP1D J0158099  +DBA:EISS BIG SEGMENT TS FOUND!CGEN050P HAS 20 DATASETS(MAX 32) SYSJOB
50616,6.882115628,07.46.16 CP1D S0129911  BSOEXTPDSS0 SEV=WAR CP1B Data Set: SYS0.MLIB.PARMLIB EXTENTS = 16 (Exts > 12)
50617,6.791771569,08.06.30 CP2D S0044205  BSOEXTPDSS0 SEV=WAR CP2C Data Set: SYS0.MLIB.PARMLIB EXTENTS = 16 (Exts > 12)
50618,176.7753343,"10.42.16 CP2C S0119535  DSNP007I  -DP71 DSNPXTN0 - EXTEND FAILED FOR DSNDP01S.DSNDBD.DP71WORK.DSN32K01.I0001.A002. RC=00D70002 -            CONNECTION-ID=BATCH, CORRELATION-ID=XXN2911S, -            LUW-ID=DSNDP01.DP71APPL.D54D4D8"
50619,4.382612327,10.18.31 CP1F J0166956 *IEF099I JOB G01S583B WAITING FOR DATA SETS
50620,4.420053995,10.15.07 CP1E J0166664 *IEF099I JOB QXCCDBIN WAITING FOR DATA SETS
50621,29.47713866,12.53.14 CP1F S0129637  DSNR035I  -DP81 DSNRPBCW WARNING - UNCOMMITTED UR AFTER 3 CHECKPOINTS - CORRELATION NAME = TF000602 -           CONNECTION ID  = BATCH -           LUWID = BOCHQP.DP81APPL.D54D68D57451 = 23762 -           PL
50622,12.26683311,"12.28.52 CP1C S0126467  DSNB356I  -DP11 DSNB5SCO FOR GROUP BUFFER POOL GBP34, THE CONDITION THAT CAUSED THE PREVIOUS DSNB355I MESSAGE DOES NOT - CURRENTLY EXIST. - PREVIOUS PAGE LEVEL   = 00D54D6492E21C000000 12:20:24 NOV 29, 2018"
50623,4.318593459,18.19.15 CP1F J0009986 *IEF099I JOB G01S583B WAITING FOR DATA SETS
50624,1.250296828,21.15.17 CP1F J0013954  +DBA:BANCS BIG SEGMENT TS FOUND!TSLMVU HAS 20 DATASETS(MAX 32) SYSJOB
50625,1.386871975,21.15.17 CP1F J0013954  +DBA:BANCS BIG SEGMENT TS FOUND!TSSAFE HAS 21 DATASETS(MAX 32) SYSJOB
50626,1.290447734,21.15.17 CP1F J0013954  +DBA:BANCS BIG SEGMENT TS FOUND!TSSPYO HAS 25 DATASETS(MAX 32) SYSJOB
50627,2.257537155,21.14.03 CP1F J0013954  +DBA:BANCS BIG PARTITION TS FOUND!TSGECT PART 159 72.1% INUSE SYSJOB
50628,1.931031613,21.14.03 CP1F J0013954  +DBA:BANCS BIG PARTITION TS FOUND!TSGECT PART 252 70.3% INUSE SYSJOB
50629,2.310465493,21.14.02 CP1F J0013954  +DBA:BANCS BIG PARTITION TS FOUND!TSGECT PART 126 73.2% INUSE SYSJOB
50630,2.322131801,21.14.03 CP1F J0013954  +DBA:BANCS BIG PARTITION TS FOUND!TSGECT PART 251 78.7% INUSE SYSJOB
50631,2.48825623,21.14.02 CP1F J0013954  +DBA:BANCS BIG PARTITION TS FOUND!TSGECT PART 98 77.7% INUSE SYSJOB
50632,4.088248887,21.11.42 CP1F J0014024 *IEF099I JOB NA100009 WAITING FOR DATA SETS
50633,1.180071733,21.04.11 CP1D J0013880  +DBA:EISS BIG SEGMENT TS FOUND!CGEN050P HAS 20 DATASETS(MAX 32) SYSJOB
50634,1.207263802,21.04.11 CP1D J0013880  +DBA:EISS BIG SEGMENT TS FOUND!CGEN246P HAS 21 DATASETS(MAX 32) SYSJOB
50635,1.39200264,21.04.11 CP1D J0013880  +DBA:EISS BIG SEGMENT TS FOUND!CGEN245P HAS 23 DATASETS(MAX 32) SYSJOB
50636,1.228768234,21.04.11 CP1D J0013880  +DBA:EISS BIG SEGMENT TS FOUND!CGEN263P HAS 22 DATASETS(MAX 32) SYSJOB
50637,21.28963001,"22.01.29 CP1D S0177924  _EYUPN0005W CIP1MM21 Notify created for SAM, Context=CPLEXBBS, Target=CIP1KT22, Sev=HS, Event=!!SAMMAX, Text=MAXTASK at 22:01:29."
50638,78.96760211,22.01.12 CP3A S0005755  DSNT500I  -DP1Z DSNUGRAR RESOURCE UNAVAILABLE REASON 00C90088 TYPE 00002102 -            NAME BSZBASE .TSGECT  .00000018
50639,4.044307,23.29.39 CP1D J0025022 *IEF099I JOB G01S663B WAITING FOR DATA SETS
50640,4.044307,*23.29.39 CP1D J0025022 *IEF099I JOB G01S663B WAITING FOR DATA SETS
50641,11.2042346,"00.49.22 CP1E S0129632  DSNB356I  -DP71 DSNB5SCO FOR GROUP BUFFER POOL GBP28, THE CONDITION THAT CAUSED THE PREVIOUS DSNB355I MESSAGE DOES NOT - CURRENTLY EXIST. - PREVIOUS PAGE LEVEL   = 00D54E0A1EE133000000 00:41:03 NOV 30, 2018"
50642,4.076170318,00.41.04 CP1E J0028757 *IEF099I JOB G01S023B WAITING FOR DATA SETS
50643,4.084214752,00.34.31 CP1F J0026205 *IEF099I JOB SA040000 WAITING FOR DATA SETS
50644,13.55210094,00.03.16 CP1C S0129621  DSNR035I  -DP51 DSNRPBCW WARNING - UNCOMMITTED UR AFTER 3 CHECKPOINTS - CORRELATION NAME = ME980000 -           CONNECTION ID  = DB2CALL -           LUWID = BOCHQP.DP51APPL.D54DFC48B86E = 89132 -
50645,184.6621962,"01.42.37 CP1E          *IOS002A 071B,NO PATHS AVAILABLE"
50646,5.435939638,01.38.56 CP1C J0031379 *IEF099I JOB P1ZOSDL  WAITING FOR DATA SETS PU GEN NOT SUPPORTED
50647,3.903192895,01.31.36 CP2B J0197486 *IEF099I JOB TMZ60000 WAITING FOR DATA SETS
50648,11.17398672,"01.20.38 CP2D           IOS080I 4780,4E,C2ME6411, I/O TIMEOUT INTERVAL HAS BEEN EXCEEDED FOR AN ACTIVE REQUEST. DATASET NAME=PRDCBS.BBCQ.FIBAIFP.ET064109"
50649,3.388695675,01.15.59 CP1F J0030696 *IEF099I JOB G01S506B WAITING FOR DATA SETS
50650,2.936681694,01.05.03 CP3B J0158318 *IEF099I JOB SMFMRGCI WAITING FOR DATA SETS
50651,2.855637027,01.05.04 CP1E J0030506 *IEF099I JOB SMFMRGCI WAITING FOR DATA SETS
50652,3.230025833,02.15.03 CP3B J0164176 *IEF099I JOB RMFRPTD3 WAITING FOR DATA SETS
50653,3.52131279,02.13.37 CP1E J0035810 *IEF099I JOB P1CICSDL WAITING FOR DATA SETS
