id,summary
55,21.13.16 CP1F J0096995  +DBA:BANCS BIG PARTITION TS FOUND!TSINCT PART 688 73.8% INUSE SYSJOB
56,21.13.18 CP1F J0096995  +DBA:BANCS BIG PARTITION TS FOUND!TSINCT PART 718 72.9% INUSE SYSJOB
57,21.13.16 CP1F J0096995  +DBA:BANCS BIG PARTITION TS FOUND!TSINCT PART 683 73.2% INUSE SYSJOB
59,01.05.02 CP1E J0113376 *IEF099I JOB SMFMRGCI WAITING FOR DATA SETS
60,"01.05.03 CP1D J0113375 *IEF099I JOB SMFMRGDB WAITING FOR DATA SETS WEDNESDAY, FEBRUARY 28, 2018"
61,01.05.03 CP1D J0113375 *IEF099I JOB SMFMRGDB WAITING FOR DATA SETS
62,"00.31.31 CP1E S0113328  DNIE4497E 2018-02-27 16:31:31 BOCOU01 RCVROUTING Exception without valid message ID; exception data: message catalog='BIPmsgs', error - number='2917', parameters='((MER.BranchInfoCacheHolder.getN99Destinati"
63,00.31.31 CP1D S0113338  DNQK1006E 2018-02-27 16:31:31 BOCOU01  Message '19297748' was backed out.
64,00.33.58 CP1D S0137397  DSNB355I  -DP61 DSNB5SCO GROUP BUFFER POOL GBP32K1 RECOVERY LRSN VALUES MIGHT CAUSE A DELAY IN GRECP RECOVERY. PAGE LEVEL   = 00D3F445BF24AA000000 -                    MEMBER LEVEL = 00D3F4475670441D4000 -
65,18.09.37 CP1A S0136290  BZECSAUSES0 SEV=WAR CP1E ECSA:70.16 [ECSAUsed% > 70]
66,01.38.17 CP1C J0113676 *IEF099I JOB P1ZOSDL  WAITING FOR DATA SETS
67,01.47.18 CP1E J0113718 *IEF099I JOB P1CICSDL WAITING FOR DATA SETS
68,05.02.54 CP1F J0130785  +DBA:BANCS BIG PARTITION TS FOUND!TSINCT PART 663 73.9% INUSE SYSJOB
69,05.02.54 CP1F J0130785  +DBA:BANCS BIG PARTITION TS FOUND!TSGECT PART 252 75.6% INUSE SYSJOB
70,05.02.55 CP1F J0130785  +DBA:BANCS BIG PARTITION TS FOUND!TSINCT PART 673 73.3% INUSE SYSJOB
71,16  05.02.55 CP1F J0130785  +DBA:BANCS BIG PARTITION TS FOUND!TSINCT PART 668 72.9% INUSE SYSJOB
72,05.02.53 CP1F J0130785  +DBA:BANCS BIG PARTITION TS FOUND!TSGECT PART 159 80.3% INUSE SYSJOB
73,05.02.53 CP1F J0130785  +DBA:BANCS BIG PARTITION TS FOUND!TSGECT PART 213 71.6% INUSE SYSJOB
74,03.34.23 CP1D S0137389  DSNR035I  -DP21 DSNRPBCW WARNING - UNCOMMITTED UR 00- AFTER 3 CHECKPOINTS - CORRELATION NAME = DI090010 -           CONNECTION ID  = BATCH -           LUWID = BOCHQP.DP21APPL.D3F46DEC9003 = 121308 -
75,02.23.22 CP1D J0114813 *IEF099I JOB G01S506B WAITING FOR DATA SETS
76,04.52.33 CP1D S0136292  BSSTRGRUPS0 SEV=WAR CP1D SG: SGIMGDP CURRENT: 84.30 [Enabled%Full >= 80]
79,02.41.20 CP2D J0003577 *IEF099I JOB C4CARD00 WAITING FOR DATA SETS
80,06  05.02.54 CP1F J0130785  +DBA:BANCS BIG PARTITION TS FOUND!TSINCT PART 653 73.1% INUSE SYSJOB
81,30  05.02.54 CP1F J0130785  +DBA:BANCS BIG PARTITION TS FOUND!TSINCT PART 658 72.9% INUSE SYSJOB
82,05.36.21 CP1F J0131531 *IEF099I JOB A01S766B WAITING FOR DATA SETS
83,59  05.02.57 CP1F J0130785  +DBA:BANCS BIG PARTITION TS FOUND!TSINCT PART 708 72.7% INUSE SYSJOB
84,05.02.57 CP1F J0130785  +DBA:BANCS BIG PARTITION TS FOUND!TSINCT PART 718 72.9% INUSE SYSJOB
85,05.02.57 CP1F J0130785  +DBA:BANCS BIG PARTITION TS FOUND!TSINCT PART 713 72.7% INUSE SYSJOB
86,05.02.55 CP1F J0130785  +DBA:BANCS BIG PARTITION TS FOUND!TSINCT PART 683 73.2% INUSE SYSJOB
87,05.03.33 CP1F J0130785  +DBA:BANCS BIG SEGMENT TS FOUND!TSSPYZ HAS 20 DATASETS(MAX 32) SYSJOB
88,48  05.02.56 CP1F J0130785  +DBA:BANCS BIG PARTITION TS FOUND!TSINCT PART 693 72.9% INUSE SYSJOB
89,06.11.59 CP1D S0113338  DNFO1033E 2018-02-27 22:11:59 BOCOU01 DNF_O_FT 31323031383032406971267 3917820211499929428100585.937  SAG returned error information with - the following parameters: -  31323031383032406971267 - 39178202114
90,05.03.33 CP1F J0130785  +DBA:BANCS BIG SEGMENT TS FOUND!TSSAFE HAS 20 DATASETS(MAX 32) SYSJOB
91,05.02.55 CP1F J0130785  +DBA:BANCS BIG PARTITION TS FOUND!TSINCT PART 678 73.9% INUSE SYSJOB
92,06.18.07 CP3D J0108437 *IEF099I JOB DEDPPL44 WAITING FOR DATA SETS
93,05.02.56 CP1F J0130785  +DBA:BANCS BIG PARTITION TS FOUND!TSINCT PART 698 72.7% INUSE SYSJOB
94,44  05.02.57 CP1F J0130785  +DBA:BANCS BIG PARTITION TS FOUND!TSINCT PART 703 73.0% INUSE SYSJOB
95,05.02.56 CP1F J0130785  +DBA:BANCS BIG PARTITION TS FOUND!TSINCT PART 688 73.8% INUSE SYSJOB
96,05.04.10 CP1F J0131123  +DBA:EISS BIG SEGMENT TS FOUND!CGEN008P HAS 25 DATASETS(MAX 32) SYSJOB
97,06.30.10 CP3D J0114581 *IEF099I JOB DEDPNL31 WAITING FOR DATA SETS
98,05.04.10 CP1F J0131123  +DBA:EISS BIG SEGMENT TS FOUND!CGEN140P HAS 23 DATASETS(MAX 32) SYSJOB
99,05.04.10 CP1F J0131123  +DBA:EISS BIG SEGMENT TS FOUND!CGEN263P HAS 21 DATASETS(MAX 32) SYSJOB
100,08.06.32 CP2D S0006020  BSOEXTPDSS0 SEV=WAR CP2C Data Set: SYS0.MLIB.PARMLIB EXTENTS = 16 [Exts > 12]
102,07.34.31 CP3D S0101313  BSOEXTPDSS0 SEV=WAR CP3C Data Set: NV.SYSTEM.PLEXP3.POLICY.ACF.BUILD EXTENTS = 13 [Exts > 12]
103,07.36.34 CP1D S0136292  BSOEXTSPSS1 SEV=WAR CP1E Data Set: NV.SYSTEM.PLEXP1.CMDB.TWSDATA EXTENTS = 13 (Exts > 10)
104,07.36.34 CP1D S0136292  BSOEXTSPSS1 SEV=WAR CP1E Data Set: SYS1.TMP.OMVS.DUMP EXTENTS = 15 (Exts > 10)
105,07.36.34 CP1D S0136292  BSOEXTSPSS1 SEV=WAR CP1E Data Set: BOCDBA.CARD.DBREPORT.G0014V00 EXTENTS = 12 (Exts > 10)
