,summary,risk,category,CDFscore
41,21.14.01 CP1E J0148460  +DBA:BANCS BIG PARTITION TS FOUND!TSGECT PART 98 71.2% INUSE SYSJOB,3,5,0.62068218
42,21.14.02 CP1E J0148460  +DBA:BANCS BIG PARTITION TS FOUND!TSGECT PART 234 71.6% INUSE SYSJOB,3,5,0.629643012
43,21.14.02 CP1E J0148460  +DBA:BANCS BIG PARTITION TS FOUND!TSGECT PART 159 78.5% INUSE SYSJOB,3,5,0.631594161
44,21.14.03 CP1E J0148460  +DBA:BANCS BIG PARTITION TS FOUND!TSGECT PART 245 75.2% INUSE SYSJOB,3,5,0.634340223
45,21.14.03 CP1E J0148460  +DBA:BANCS BIG PARTITION TS FOUND!TSGECT PART 252 70.9% INUSE SYSJOB,3,5,0.62855904
46,"21.14.03 CP1E J0148460  +DBA:BANCS BIG PARTITION TS FOUND!TSGECT PART 245 75.2% INUSE SYSJOB by utility ""LOAD SHRLEVEL NONE REPLACE"" was detected on table - ""NBANCS.CPTL"" for Q subscription ""DP01_CAP3_TO_QMDD_HS1_NCPTL"" - (receive queue ""QR.NI.SENDQ1.QPS1",618,0,0.99848244
47,02  21.14.01 CP1E J0148460  +DBA:BANCS BIG PARTITION TS FOUND!TSGECT PART 87 74.2% INUSE SYSJOB,2,5,0.589608325
48,21.14.52 CP1E J0148460  +DBA:BANCS BIG SEGMENT TS FOUND!TSSPYZ HAS 20 DATASETS(MAX 32) SYSJOB,2,2,0.593799682
49,21.14.52 CP1E J0148460  +DBA:BANCS BIG SEGMENT TS FOUND!TSSPYO HAS 24 DATASETS(MAX 32) SYSJOB,2,2,0.489810666
50,23.54.21 CP3C S0098409  BZZFSUSGES0 SEV=WAR CP3A ZFS Name: FTM300.OMVS.VAR.ZFS USE%: 84.48 (Usg% >= 80),30,0,0.966469143
51,23.54.21 CP3C S0098409  BZZFSUSGES0 SEV=WAR CP3D ZFS Name: FTM300.OMVS.VAR.ZFS USE%: 84.48 (Usg% >= 80),29,0,0.965168377
52,23.54.21 CP3C S0098409  BZZFSUSGES0 SEV=WAR CP3B ZFS Name: FTM300.OMVS.VAR.ZFS USE%: 84.48 (Usg% >= 80),30,0,0.966324613
53,23.54.21 CP3C S0098409  BZZFSUSGES0 SEV=WAR CP3C ZFS Name: FTM300.OMVS.VAR.ZFS USE%: 84.48 (Usg% >= 80),30,0,0.966758202
54,"00.14.45 CP3D          *IXC585E STRUCTURE LOGRECSTRUCTURE IN COUPLING * FACILITY BCC2C5, *PHYSICAL STRUCTURE VERSION D3C58F3C 401E00D5, *IS AT OR ABOVE STRUCTURE FULL MONITORING THRESHOLD OF 85%: *   SPACE USAGE     IN-USE       T",130,0,0.992412198
55,".54.31 CP2C           IOS080I 15BA,BC,UPA65102, I/O TIMEOUT INTERVAL HAS BEEN EXCEEDED FOR AN ACTIVE REQUEST.",30,8,0.966685937
56,01.00.07 CP3D J0102264 *IEF099I JOB SMFMRGOS WAITING FOR DATA SETS,3,0,0.642000289
57,01.05.02 CP3B J0103459 *IEF099I JOB SMFMRGCI WAITING FOR DATA SETS,3,0,0.639760081
58,01.05.03 CP1E J0160561 *IEF099I JOB SMFMRGCI WAITING FOR DATA SETS,3,0,0.639109698
59,01.06.15 CP2D J0096036 *IEF099I JOB TMZ60000 WAITING FOR DATA SETS,3,0,0.654140772
60,"01.20.35 CP1D S0002847  DNFO1033E 2018-09-15 17:20:35 BOCOU01 DNF_O_FT SAG returned error information with the following parameters: -  Code    : 'Sw.Sec.HSMContextLost' -  Text    : 'Security context has become invalid., DN=cn=fi",505,0,0.998121116
61,01.20.54 CP1E S0002842  DNFO1005E 2018-09-15 17:20:53 BOCOU01 DNF_O_FT SAG reported an error with the following parameters: -  Severity    : 'Transient' -  Code        : 'Sw.Req.DirectoryConnection' -  Parameter   : 'Level=1' -  T,292,0,0.99667582
62,01.43.15 CP1C J0164025 *IEF099I JOB P1ZOSDL  WAITING FOR DATA SETS,3,0,0.656670039
63,01.56.30 CP1D J0165094 *IEF099I JOB G01S506B WAITING FOR DATA SETS,3,0,0.665630872
64,02.00.02 CP3A J0114241 *IEF099I JOB RMFMAGIC WAITING FOR DATA SETS,3,0,0.669171846
65,02.01.09 CP1F S0124262  DSNR035I  -DP81 DSNRPBCW WARNING - UNCOMMITTED UR AFTER 3 CHECKPOINTS - CORRELATION NAME = SS540000 -           CONNECTION ID  = UTILITY -           LUWID = BOCHQP.DP81APPL.D4EFCA25B9AE = 42295 -,124,0,0.992050874
66,02.15.03 CP3B J0116231 *IEF099I JOB RMFRPTD3 WAITING FOR DATA SETS,3,0,0.653851713
67,02.35.20 CP1E J0166978 *IEF099I JOB P1CICSDL WAITING FOR DATA SETS,3,0,0.658693453
68,05.03.32 CP1F J0182167  +DBA:BANCS BIG PARTITION TS FOUND!TSGECT PART 87 74.2% INUSE SYSJOB,3,5,0.602471455
69,05.03.33 CP1F J0182167  +DBA:BANCS BIG PARTITION TS FOUND!TSGECT PART 245 75.2% INUSE SYSJOB,3,5,0.636435901
