00.38.17 CP1C S0137395 DSNR035I -DP51 DSNRPBCW WARNING - UNCOMMITTED UR AFTER 3 CHECKPOINTS - 00- CORRELATION NAME = ME980000 - CONNECTION ID = DB2CALL - LUWID = BOCHQ P.DP51APPL.D41C828181DD = 8721
01.01.17 CP3C J0091276 *IEF099I JOB DEDPLUS5 WAITING FOR DATA SETS
01.05.02 CP1E J0077636 *IEF099I JOB SMFMRGCI WAITING FOR DATA SETS
01.22.31 CP2D J0013254 *IEF099I JOB GPISEAS1 WAITING FOR DATA SETS
01.29.51 CP2C J0013906 *IEF099I JOB TMZ60000 WAITING FOR DATA SETS
01.45.54 CP1C J0077810 *IEF099I JOB P1ZOSDL WAITING FOR DATA SETS
01.50.29 CP1E J0077818 *IEF099I JOB P1CICSDL WAITING FOR DATA SETS
05.58.16 CP1C J0095345 *IEF099I JOB A01S804B WAITING FOR DATA SETS
06.18.39 CP3C J0129802 *IEF099I JOB DEDPCZ23 WAITING FOR DATA SETS
07.36.31 CP1D S0136292 BSOEXTSPSS1 SEV=WAR CP1E Data Set: NV.NETWORK.CP1EN.LOG.G3752V00 EXTENTS = 15 (Exts > 10)
"14.32.07 CP1E IOS080I 49C5,A5,CIP1FA32, I/O TIMEOUT INTERVAL HAS BEEN EXCEEDED FOR AN ACTIVE REQUEST. DATASET NAME=ESSPRD.ISS.AOR6.GADTLOGA.DATA"
"14.32.07 CP1E IOS080I 189E,52,IXGLOGR, I/O TIMEOUT INTERVAL HAS BEEN EXCEEDED FOR AN ACTIVE REQUEST. DATASET NAME=CICSLOGR.CIRUKA.CIP1KA34.DFHLOG.PLEXP1.DATA"
"14.32.07 CP1C IOS080I 19F1,56,DP1CDBM1, I/O TIMEOUT INTERVAL HAS BEEN EXCEEDED FOR AN ACTIVE REQUEST. DATASET NAME=ESSPRDDB.DSNDBD.DISSPRD.CGEN138P.J0001.A001"
"14.32.07 CP1F IOS080I 44EF,9A,QPS2MSTR, I/O TIMEOUT INTERVAL HAS BEEN EXCEEDED FOR AN ACTIVE REQUEST. DATASET NAME=CSQQPS2S.QPS2.LOGCOPY1.DS024.DATA"
"14.32.07 CP1E IOS080I 35BB,87,BBDBC, I/O TIMEOUT INTERVAL HAS BEEN EXCEEDED AA FOR AN ACTIVE REQUEST. DATASET NAME=BMCMV.MV.DC1E.D0000009"
"14.32.07 CP1C IOS080I 57BD,9C,BBDBC, I/O TIMEOUT INTERVAL HAS BEEN EXCEEDED FOR AN ACTIVE REQUEST. DATASET NAME=BMCMV.MV.DC1C.D0000009"
"14.32.07 CP1C IOS080I 49DB,70,MQ1AMSTR, I/O TIMEOUT INTERVAL HAS BEEN EXCEEDED FOR AN ACTIVE REQUEST. DATASET NAME=MQGA.MQ1A.LOGCOPY2.DS22.DATA"
