,summary,risk
45,21.14.03 CP1E J0148460  +DBA:BANCS BIG PARTITION TS FOUND!TSGECT PART 252 70.9% INUSE SYSJOB,3.0
46,"21.14.03 CP1E J0148460  +DBA:BANCS BIG PARTITION TS FOUND!TSGECT PART 245 75.2% INUSE SYSJOB by utility ""LOAD SHRLEVEL NONE REPLACE"" was detected on table - ""NBANCS.CPTL"" for Q subscription ""DP01_CAP3_TO_QMDD_HS1_NCPTL"" - (receive queue ""QR.NI.SENDQ1.QPS1",900.0
47,02  21.14.01 CP1E J0148460  +DBA:BANCS BIG PARTITION TS FOUND!TSGECT PART 87 74.2% INUSE SYSJOB,2.0
48,21.14.52 CP1E J0148460  +DBA:BANCS BIG SEGMENT TS FOUND!TSSPYZ HAS 20 DATASETS(MAX 32) SYSJOB,2.0
49,21.14.52 CP1E J0148460  +DBA:BANCS BIG SEGMENT TS FOUND!TSSPYO HAS 24 DATASETS(MAX 32) SYSJOB,2.0
50,23.54.21 CP3C S0098409  BZZFSUSGES0 SEV=WAR CP3A ZFS Name: FTM300.OMVS.VAR.ZFS USE%: 84.48 (Usg% >= 80),4.0
51,23.54.21 CP3C S0098409  BZZFSUSGES0 SEV=WAR CP3D ZFS Name: FTM300.OMVS.VAR.ZFS USE%: 84.48 (Usg% >= 80),4.0
52,23.54.21 CP3C S0098409  BZZFSUSGES0 SEV=WAR CP3B ZFS Name: FTM300.OMVS.VAR.ZFS USE%: 84.48 (Usg% >= 80),5.0
53,23.54.21 CP3C S0098409  BZZFSUSGES0 SEV=WAR CP3C ZFS Name: FTM300.OMVS.VAR.ZFS USE%: 84.48 (Usg% >= 80),5.0
54,"00.14.45 CP3D          *IXC585E STRUCTURE LOGRECSTRUCTURE IN COUPLING * FACILITY BCC2C5, *PHYSICAL STRUCTURE VERSION D3C58F3C 401E00D5, *IS AT OR ABOVE STRUCTURE FULL MONITORING THRESHOLD OF 85%: *   SPACE USAGE     IN-USE       T",86.0
55,".54.31 CP2C           IOS080I 15BA,BC,UPA65102, I/O TIMEOUT INTERVAL HAS BEEN EXCEEDED FOR AN ACTIVE REQUEST.",52.0
56,01.00.07 CP3D J0102264 *IEF099I JOB SMFMRGOS WAITING FOR DATA SETS,3.0
57,01.05.02 CP3B J0103459 *IEF099I JOB SMFMRGCI WAITING FOR DATA SETS,3.0
58,01.05.03 CP1E J0160561 *IEF099I JOB SMFMRGCI WAITING FOR DATA SETS,3.0
59,01.06.15 CP2D J0096036 *IEF099I JOB TMZ60000 WAITING FOR DATA SETS,3.0
60,"01.20.35 CP1D S0002847  DNFO1033E 2018-09-15 17:20:35 BOCOU01 DNF_O_FT SAG returned error information with the following parameters: -  Code    : 'Sw.Sec.HSMContextLost' -  Text    : 'Security context has become invalid., DN=cn=fi",441.0
61,01.20.54 CP1E S0002842  DNFO1005E 2018-09-15 17:20:53 BOCOU01 DNF_O_FT SAG reported an error with the following parameters: -  Severity    : 'Transient' -  Code        : 'Sw.Req.DirectoryConnection' -  Parameter   : 'Level=1' -  T,298.0
62,01.43.15 CP1C J0164025 *IEF099I JOB P1ZOSDL  WAITING FOR DATA SETS,3.0
63,01.56.30 CP1D J0165094 *IEF099I JOB G01S506B WAITING FOR DATA SETS,3.0
64,02.00.02 CP3A J0114241 *IEF099I JOB RMFMAGIC WAITING FOR DATA SETS,3.0
65,02.01.09 CP1F S0124262  DSNR035I  -DP81 DSNRPBCW WARNING - UNCOMMITTED UR AFTER 3 CHECKPOINTS - CORRELATION NAME = SS540000 -           CONNECTION ID  = UTILITY -           LUWID = BOCHQP.DP81APPL.D4EFCA25B9AE = 42295 -,109.0
66,02.15.03 CP3B J0116231 *IEF099I JOB RMFRPTD3 WAITING FOR DATA SETS,3.0
67,02.35.20 CP1E J0166978 *IEF099I JOB P1CICSDL WAITING FOR DATA SETS,3.0
68,05.03.32 CP1F J0182167  +DBA:BANCS BIG PARTITION TS FOUND!TSGECT PART 87 74.2% INUSE SYSJOB,3.0
69,05.03.33 CP1F J0182167  +DBA:BANCS BIG PARTITION TS FOUND!TSGECT PART 245 75.2% INUSE SYSJOB,3.0
70,05.03.33 CP1F J0182167  +DBA:BANCS BIG PARTITION TS FOUND!TSGECT PART 234 71.6% INUSE SYSJOB,3.0
71,05.03.33 CP1F J0182167  +DBA:BANCS BIG PARTITION TS FOUND!TSGECT PART 159 78.6% INUSE SYSJOB,3.0
72,05.03.33 CP1F J0182167  +DBA:BANCS BIG PARTITION TS FOUND!TSGECT PART 98 71.2% INUSE SYSJOB,3.0
73,05.03.34 CP1F J0182167  +DBA:BANCS BIG PARTITION TS FOUND!TSGECT PART 252 70.9% INUSE SYSJOB,3.0
74,05.04.11 CP1E J0182227  +DBA:EISS BIG SEGMENT TS FOUND!CGEN245P HAS 21 DATASETS(MAX 32) SYSJOB,1.0
75,05.04.11 CP1E J0182227  +DBA:EISS BIG SEGMENT TS FOUND!CGEN050P HAS 20 DATASETS(MAX 32) SYSJOB,1.0
76,05.04.11 CP1E J0182227  +DBA:EISS BIG SEGMENT TS FOUND!CGEN263P HAS 21 DATASETS(MAX 32) SYSJOB,1.0
77,05.04.11 CP1E J0182227  +DBA:EISS BIG SEGMENT TS FOUND!CGEN246P HAS 21 DATASETS(MAX 32) SYSJOB,1.0
78,05.04.19 CP1F J0182167  +DBA:BANCS BIG SEGMENT TS FOUND!TSSPYO HAS 24 DATASETS(MAX 32) SYSJOB,2.0
79,05.04.19 CP1F J0182167  +DBA:BANCS BIG SEGMENT TS FOUND!TSSPYZ HAS 20 DATASETS(MAX 32) SYSJOB,2.0
80,05.32.45 CP1F J0182782 *IEF099I JOB AXBKOUT  WAITING FOR DATA SETS,3.0
81,05.49.11 CP1C J0183042 *IEF099I JOB A01S804B WAITING FOR DATA SETS,3.0
82,07.40.23 CP3D S0098408  BSOEXTSPSS1 SEV=WAR CP3D Data Set: OPERZ.TWZP.APALL.D180905 EXTENTS = 11 (Exts > 10),3.0
83,07.46.12 CP1D S0041765  BSOEXTPDSS0 SEV=WAR CP1B Data Set: BOCBMC.MV.UBBPARM EXTENTS = 13 (Exts > 12),11.0
84,08.06.27 CP2D S0189174  BSOEXTPDSS0 SEV=WAR CP2C Data Set: SYS0.MLIB.PARMLIB EXTENTS = 15 (Exts > 12),4.0
85,10.17.12 CP1C J0186619 *IEF099I JOB SORTALL  WAITING FOR DATA SETS,3.0
86,11.05.21 CP1C J0187376 *IEF099I JOB SORTALL  WAITING FOR DATA SETS,3.0
87,12.19.34 CP1E J0188734 *IEF099I JOB QXPRERPT WAITING FOR DATA SETS,3.0
88,12.32.14 CP1C J0189078 *IEF099I JOB CXBKUPGL WAITING FOR DATA SETS,3.0
89,12.42.07 CP1E J0189146 *IEF099I JOB G0GETOUT WAITING FOR DATA SETS,3.0
90,".52.31 CP2D           IOS080I 15C7,A4,UPA64303, I/O TIMEOUT INTERVAL HAS BEEN EXCEEDED FOR AN ACTIVE REQUEST. DATASET NAME=PRDDEDPR.SPLICE.RPYV.ULA64303",55.0
91,16.45.17 CP2A J0160465 *IEF099I JOB TMZ60000 WAITING FOR DATA SETS,3.0
92,17.44.31 CP2C J0164763 *IEF099I JOB RI00D21D WAITING FOR DATA SETS,3.0
93,17.44.30 CP2D J0164762 *IEF099I JOB RI00D01D WAITING FOR DATA SETS,3.0
94,17.44.37 CP2A J0164764 *IEF099I JOB RI00D41D WAITING FOR DATA SETS,3.0
95,17.44.41 CP2C J0164766 *IEF099I JOB RI00D81D WAITING FOR DATA SETS,3.0
96,17.52.02 CP2D J0165197 *IEF099I JOB RI30201D WAITING FOR DATA SETS,3.0
97,17.52.01 CP2B J0165186 *IEF099I JOB RI00201D WAITING FOR DATA SETS,3.0
98,17.52.02 CP2D J0165196 *IEF099I JOB RI23201D WAITING FOR DATA SETS,3.0
99,17.52.02 CP2D J0165195 *IEF099I JOB RI22201D WAITING FOR DATA SETS,3.0
100,17.52.02 CP2D J0165194 *IEF099I JOB RI21201D WAITING FOR DATA SETS,3.0
101,17.52.01 CP2A J0165189 *IEF099I JOB RI12201D WAITING FOR DATA SETS,3.0
102,17.52.01 CP2A J0165190 *IEF099I JOB RI13201D WAITING FOR DATA SETS,3.0
103,17.52.02 CP2D J0165193 *IEF099I JOB RI16201D WAITING FOR DATA SETS,3.0
104,"17.52.03 CP2A J0165202 *IEF099I JOB RI35201D WAITING FOR DATA SETS SUNDAY, SEPTEMBER 16, 2018",9.0
105,17.52.03 CP2D J0165206 *IEF099I JOB RI39201D WAITING FOR DATA SETS,3.0
106,17.52.04 CP2C J0165209 *IEF099I JOB RI43201D WAITING FOR DATA SETS,3.0
107,17.52.04 CP2C J0165211 *IEF099I JOB RI45201D WAITING FOR DATA SETS,3.0
108,17.52.03 CP2D J0165204 *IEF099I JOB RI37201D WAITING FOR DATA SETS,3.0
109,17.52.03 CP2D J0165203 *IEF099I JOB RI36201D WAITING FOR DATA SETS,3.0
110,17.52.03 CP2D J0165205 *IEF099I JOB RI38201D WAITING FOR DATA SETS,3.0
111,17.52.02 CP2D J0165191 *IEF099I JOB RI14201D WAITING FOR DATA SETS,3.0
112,17.52.02 CP2D J0165192 *IEF099I JOB RI15201D WAITING FOR DATA SETS,3.0
113,17.52.04 CP2C J0165208 *IEF099I JOB RI42201D WAITING FOR DATA SETS,3.0
114,17.52.04 CP2B J0165212 *IEF099I JOB RI46201D WAITING FOR DATA SETS,3.0
115,17.52.04 CP2C J0165207 *IEF099I JOB RI41201D WAITING FOR DATA SETS,3.0
116,17.52.02 CP2B J0165200 *IEF099I JOB RI33201D WAITING FOR DATA SETS,3.0
117,17.52.05 CP2D J0165217 *IEF099I JOB RI53201D WAITING FOR DATA SETS,3.0
118,17.52.03 CP2A J0165201 *IEF099I JOB RI34201D WAITING FOR DATA SETS,3.0
119,17.52.05 CP2A J0165214 *IEF099I JOB RI50201D WAITING FOR DATA SETS,3.0
120,17.52.05 CP2D J0165216 *IEF099I JOB RI52201D WAITING FOR DATA SETS,3.0
121,17.52.05 CP2A J0165215 *IEF099I JOB RI51201D WAITING FOR DATA SETS,3.0
122,17.52.02 CP2B J0165198 *IEF099I JOB RI31201D WAITING FOR DATA SETS,3.0
123,17.52.02 CP2B J0165199 *IEF099I JOB RI32201D WAITING FOR DATA SETS,3.0
124,17.52.04 CP2B J0165213 *IEF099I JOB RI47201D WAITING FOR DATA SETS,3.0
125,17.52.06 CP2C J0165220 *IEF099I JOB RI62201D WAITING FOR DATA SETS,3.0
126,17.52.06 CP2C J0165221 *IEF099I JOB RI63201D WAITING FOR DATA SETS,3.0
127,17.52.06 CP2C J0165222 *IEF099I JOB RI64201D WAITING FOR DATA SETS,3.0
