id,summary
51442,"19.44.12 CP3D S0189611  DNFF4141I 2018-12-08 11:44:12 BOCOUA DNF_FSM LT 'BKCHAU2SA': user or SFD-internal ABORT request accepted, ABORT code 'US007', ABORT - diagnostic code 'Life signal timeout'."
51443,"19.41.28 CP3D S0189611  DNFF4141I 2018-12-08 11:41:28 BOCOUA DNF_FSM LT 'BKCHAU2AA': user or SFD-internal ABORT request accepted, ABORT code 'US007', ABORT - diagnostic code 'Life signal timeout'."
51444,19.41.29 CP3D S0189611  DNFF4095I 2018-12-08 11:41:29 BOCOUA DNF_FSM LT 'BKCHAU2AA': RP user synchronization will start in '120' seconds.
51445,"19.41.28 CP3C S0189605  DNFF4079I 2018-12-08 11:41:28 BOCOUA DNF_FSM LT 'BKCHAU2AA': ABORT requested by AL server, ABORT code 'US007', ABORT diagnostic code - 'Life signal timeout'."
51446,21.14.45 CP1F J0079683  +DBA:BANCS BIG SEGMENT TS FOUND!TSSPYO HAS 25 DATASETS(MAX 32) SYSJOB
51447,21.14.45 CP1F J0079683  +DBA:BANCS BIG SEGMENT TS FOUND!TSSAFE HAS 22 DATASETS(MAX 32) SYSJOB
51448,21.14.45 CP1F J0079683  +DBA:BANCS BIG SEGMENT TS FOUND!TSLMVU HAS 20 DATASETS(MAX 32) SYSJOB
51449,21.13.41 CP1F J0079683  +DBA:BANCS BIG PARTITION TS FOUND!TSGECT PART 159 77.7% INUSE SYSJOB
51450,21.13.41 CP1F J0079683  +DBA:BANCS BIG PARTITION TS FOUND!TSGECT PART 126 74.7% INUSE SYSJOB
51451,21.13.42 CP1F J0079683  +DBA:BANCS BIG PARTITION TS FOUND!TSGECT PART 252 71.6% INUSE SYSJOB
51452,21.13.41 CP1F J0079683  +DBA:BANCS BIG PARTITION TS FOUND!TSGECT PART 251 80.7% INUSE SYSJOB
51453,21.13.41 CP1F J0079683  +DBA:BANCS BIG PARTITION TS FOUND!TSGECT PART 243 70.6% INUSE SYSJOB
51454,21.13.40 CP1F J0079683  +DBA:BANCS BIG PARTITION TS FOUND!TSGECT PART 98 79.6% INUSE SYSJOB
51455,21.13.40 CP1F J0079683  +DBA:BANCS BIG PARTITION TS FOUND!TSGECT PART 87 71.7% INUSE SYSJOB
51456,21.12.37 CP1F J0079761 *IEF099I JOB NA100006 WAITING FOR DATA SETS
51457,21.04.11 CP1D J0079653  +DBA:EISS BIG SEGMENT TS FOUND!CGEN263P HAS 22 DATASETS(MAX 32) SYSJOB
51458,21.04.11 CP1D J0079653  +DBA:EISS BIG SEGMENT TS FOUND!CGEN246P HAS 21 DATASETS(MAX 32) SYSJOB
51459,21.04.11 CP1D J0079653  +DBA:EISS BIG SEGMENT TS FOUND!CGEN048P HAS 20 DATASETS(MAX 32) SYSJOB
51460,21.04.11 CP1D J0079653  +DBA:EISS BIG SEGMENT TS FOUND!CGEN245P HAS 24 DATASETS(MAX 32) SYSJOB
51461,21.04.11 CP1D J0079653  +DBA:EISS BIG SEGMENT TS FOUND!CGEN050P HAS 20 DATASETS(MAX 32) SYSJOB
51462,"00.58.00 CP1B S0195832  GEO551I HYPERSWAP DISABLED BY USER IBMSE11 AT 20181209 00:30:27, HyperSwap is disabled (CP1BA)"
51463,带库相关问题，请通知系统管理一和生产运行值班人员 00.55.13 CP1A S0092303 *3027 IEF238D SA390IPL - REPLY DEVICE NAME OR * 'CANCEL'.
51464,带库相关问题，请通知系统管理一和生产运行值班人员 00.55.13 CP1A S0092303 *3027 IEF238D SA390IPL - REPLY DEVICE NAME OR |  'CANCEL'.
51465,00.55.02 CP1A S0092187  BZMVBBPASS0 SEV=WAR CP1F Jobname: BBSGPR (Status <> ACTIVE)
51466,00.50.49 CP3C S0048456  +CSQX599E !QP1S CSQXRCTL Channel SWIFTI.BPS.CHL ended abnormally
51467,00.49.20 CP2B S0007540  BNEEPUACTS0 SEV=CRI TCPIP PUName:EEC2AC1A System:CP2A Remote IP:11.3.2.1         (State <> ACTIVE) (Persisting)
51468,00.49.20 CP2B S0007540  BNEEPUACTS0 SEV=CRI TCPIP PUName:EEC2BC1A System:CP2B Remote IP:11.3.2.1         (State <> ACTIVE) (Persisting)
51469,00.48.52 CP3A S0048551  BNEEPUACTS0 SEV=CRI TCPIP PUName:EECP3C1A System:CP3A Remote IP:11.3.2.1         (State <> ACTIVE) (Persisting)
51470,00.48.52 CP3A S0048551  BNEEPUACTS0 SEV=CRI TCPIP PUName:EECP3C1A System:CP3C Remote IP:11.3.2.1         (State <> ACTIVE) (Persisting)
51471,00.49.05 CP1E S0177454  +CSQX599E !QWP2 CSQXRCTL Channel SWIFTI.SWIFTLNK.CHL ended abnormally
51472,00.48.20 CP2B S0007540  BNEEPUACTS0 SEV=CRI TCPIP PUName:EEC2AC1A System:CP2A Remote IP:11.3.2.1         (State <> ACTIVE) (Persisting)
51473,00.48.20 CP2B S0007540  BNEEPUACTS0 SEV=CRI TCPIP PUName:EEC2BC1A System:CP2B Remote IP:11.3.2.1         (State <> ACTIVE) (Persisting)
51474,00.47.21 CP2B S0007540  BNEEPUACTS0 SEV=CRI TCPIP PUName:EEC2AC1A System:CP2A Remote IP:11.3.2.1         (State <> ACTIVE) (Persisting)
51475,00.48.21 CP1D S0092109  +CSQX599E !QPY2 CSQXRCTL Channel QR.CHL1.QPY2.TO.QM55 ended abnormally
51476,00.47.21 CP2B S0007540  BNEEPUACTS0 SEV=CRI TCPIP PUName:EEC2BC1A System:CP2B Remote IP:11.3.2.1         (State <> ACTIVE) (Persisting)
51477,00.47.53 CP3A S0048551  BNEEPUACTS0 SEV=CRI TCPIP PUName:EECP3C1A System:CP3C Remote IP:11.3.2.1         (State <> ACTIVE) (Persisting)
51478,00.47.53 CP3A S0048551  BNEEPUACTS0 SEV=CRI TCPIP PUName:EECP3C1A System:CP3A Remote IP:11.3.2.1         (State <> ACTIVE) (Persisting)
51479,00.47.41 CP1F S0092108  +CSQX599E !QPY1 CSQXRCTL Channel QR.CHN1.QPY1.TO.QM93 ended abnormally
51480,00.47.41 CP1F S0092108  +CSQX599E !QPY1 CSQXRCTL Channel QR.CHN2.QPY1.TO.QMDD ended abnormally
51481,00.47.41 CP1F S0092108  +CSQX599E !QPY1 CSQXRCTL Channel QR.CHN2.QPY1.TO.QM93 ended abnormally
51482,00.47.41 CP1F S0092108  +CSQX599E !QPY1 CSQXRCTL Channel QR.CHN1.QPY1.TO.QMDD ended abnormally
