id,risk,category,summary,timestamp,key
81780,1+,4,06.02.13 CP3C J0064246  +DBA:BOCSY BIG PARTITION TS FOUND!TSDPTM PART 4 75.5% INUSE SYSJOB,2019/7/4 7:00,BIG PARTITION
81781,1+,4,06.02.13 CP3C J0064246  +DBA:BOCSY BIG PARTITION TS FOUND!TSSORD PART 4 72.0% INUSE SYSJOB,2019/7/4 7:00,BIG PARTITION
81782,1+,2,09.57.53 CP1C S0008414  DSNR035I  -DP51 DSNRPBCW WARNING - UNCOMMITTED UR AFTER 3 CHECKPOINTS - CORRELATION NAME = TF001402 -           CONNECTION ID  = BATCH -           LUWID = DSNDP01.DP51APPL.D65E17205A9D = 172412 -,2019/7/4 10:00,DSNR035I
81783,1+,6,"E2E:2019-07-04 11:46:21,087 ERROR [com.e2e.dc.service.impl.SendEventImpl] - Connect Failed",2019/7/4 12:00,E2E
81784,1+,6,"E2E:2019-07-04 11:46:17,308 ERROR [com.e2e.dc.service.impl.SendEventImpl] - Connect Failed",2019/7/4 12:00,E2E
81785,1+,6,"E2E:2019-07-04 11:46:20,459 ERROR [com.e2e.dc.service.impl.SendEventImpl] - Connect Failed",2019/7/4 12:00,E2E
81786,1+,6,"E2E:2019-07-04 11:46:22,195 ERROR [com.e2e.dc.service.impl.SendEventImpl] - Connect Failed",2019/7/4 12:00,E2E
81787,1+,6,"E2E:2019-07-04 11:46:18,086 ERROR [com.e2e.dc.service.impl.SendEventImpl] - Connect Failed",2019/7/4 12:00,E2E
81788,1+,6,"E2E:2019-07-04 11:46:17,969 ERROR [com.e2e.dc.service.impl.SendEventImpl] - Connect Failed",2019/7/4 12:00,E2E
81789,1+,6,2019-07-04 11:46:01 Error: The application process is down: /streams/InfoSphereStreams/system/impl/bin/streams-pec,2019/7/4 12:00,E2E
81790,1+,6,2019-07-04 11:46:01 Error: The application process is down: /streams/InfoSphereStreams/system/impl/bin/streams-pec,2019/7/4 12:00,E2E
81791,10+,6,"E2E: 11.47.27 CP3D S0059949  BPXM023I (STCTVLI) ILGDC08E:socket reconnect failed,ThreadId:0        ¶Ëµ½¶ËÖ÷»úLog DCÖØÁ¬SocketÊ§°Ü£¬Log DCÏß³ÌÍË³ö¡£",2019/7/4 12:00,BPXM023I
81792,1+,6,2019-07-04 11:46:01 Error: The application process is down: /streams/InfoSphereStreams/system/impl/bin/streams-pec,2019/7/4 12:00,E2E
81793,10+,6,"E2E: 11.46.19 CP1D S0010693  BPXM023I (STCTVLI) ILGDC08E:socket reconnect failed,ThreadId:2        ¶Ëµ½¶ËÖ÷»úLog DCÖØÁ¬SocketÊ§°Ü£¬Log DCÏß³ÌÍË³ö¡£",2019/7/4 12:00,BPXM023I
81794,10+,6,¶Ëµ½¶Ë:ERROR CN streamsjob status not running!,2019/7/4 12:00,E2E
81795,10+,6,¶Ëµ½¶Ë:ERROR CN streamsjob healthy not good!,2019/7/4 12:00,E2E
81796,10+,6,¶Ëµ½¶Ë:ERROR OVERSEA streamsjob status not running!,2019/7/4 12:00,E2E
81797,10+,6,¶Ëµ½¶Ë:ERROR OVERSEA streamsjob healthy not good!,2019/7/4 12:00,E2E
81798,10+,6,¶Ëµ½¶Ë:ERROR OVERSEA streamsjob status not running!,2019/7/4 12:00,E2E
81799,10+,6,¶Ëµ½¶Ë:ERROR CN streamsjob healthy not good!,2019/7/4 12:00,E2E
81800,10+,6,¶Ëµ½¶Ë:ERROR OVERSEA streamsjob healthy not good!,2019/7/4 12:00,E2E
81801,10+,6,¶Ëµ½¶Ë:ERROR CN streamsjob status not running!,2019/7/4 12:00,E2E
81802,1+,2,12.24.17 CP1F S0008420  DSNR035I  -DP81 DSNRPBCW WARNING - UNCOMMITTED UR AFTER 3 CHECKPOINTS - CORRELATION NAME = NS200008 -           CONNECTION ID  = UTILITY -           LUWID = DSNDP01.DP81APPL.D65E370E3C2E = 27412 -,2019/7/4 13:00,DSNR035I
81804,1+,4,13.02.33 CP3C J0109904  +DBA:BOCSY BIG PARTITION TS FOUND!TSSORD PART 4 72.0% INUSE SYSJOB,2019/7/4 14:00,BIG PARTITION
81805,1+,4,13.02.32 CP3C J0109904  +DBA:BOCSY BIG PARTITION TS FOUND!TSDPTM PART 4 75.5% INUSE SYSJOB,2019/7/4 14:00,BIG PARTITION
81808,1000+,6,SSM Cold Start  [ Enterprise = .1.3.6.1.4.1.1977 ],2019/7/4 18:00,netcool
81811,1+,0,21.14.09 CP1F J0099467  +DBA:BANCS BIG PARTITION TS FOUND!TSPROM PART 20 79.8% INUSE SYSJOB,2019/7/4 22:00,BIG PARTITION
81812,1+,0,21.14.08 CP1F J0099467  +DBA:BANCS BIG PARTITION TS FOUND!TSPROM PART 8 74.3% INUSE SYSJOB,2019/7/4 22:00,BIG PARTITION
81813,1+,0,21.14.09 CP1F J0099467  +DBA:BANCS BIG PARTITION TS FOUND!TSPROM PART 16 75.4% INUSE SYSJOB,2019/7/4 22:00,BIG PARTITION
81814,1+,0,21.14.08 CP1F J0099467  +DBA:BANCS BIG PARTITION TS FOUND!TSPROM PART 1 76.4% INUSE SYSJOB,2019/7/4 22:00,BIG PARTITION
81815,1+,9,21.12.51 CP1D J0099549 *IEF099I JOB NA100006 WAITING FOR DATA SETS,2019/7/4 22:00,IEF099I
81816,1+,5,21.04.09 CP1D J0099407  +DBA:EISS BIG PARTITION TS FOUND!CGEN061P PART 3 75.9% INUSE SYSJOB,2019/7/4 22:00,BIG PARTITION
81817,1+,5,21.04.09 CP1D J0099407  +DBA:EISS BIG PARTITION TS FOUND!CGEN961P PART 3 75.9% INUSE SYSJOB,2019/7/4 22:00,BIG PARTITION
81818,1+,2,22.37.31 CP1F S0008420  DSNR035I  -DP81 DSNRPBCW WARNING - UNCOMMITTED UR CORRELATION NAME = EH460002 CONNECTION ID  = BATCH -           LUWID = DSNDP01.DP81APPL.D65EC248D79B = 97545 -           PLAN NAME = DBCI1600 -           AU,2019/7/4 23:00,DSNR035I
81819,1+,8,00.55.31 CP1C S0007732 *DSNB319A  -DP11 DSNB1CNE THERE IS A SHORTAGE OF * SPACE *IN GROUP BUFFER POOL GBP24-SEC,2019/7/5 1:00,DSNB319A
81820,1+,8,00.54.50 CP1D S0008408 *DSNB325A  -DP21 DSNB1CNE THERE IS A CRITICAL * SHORTAGE *OF SPACE IN GROUP BUFFER POOL GBP24-SEC,2019/7/5 1:00,DSNB325A
81821,1+,9,00.18.01 CP1F J0111902 *IEF099I JOB G01S663B WAITING FOR DATA SETS,2019/7/5 1:00,IEF099I
81822,10+,6,00.00.01 CP1A S0052366  BZZFSUSGES0 SEV=WAR CP1D ZFS Name: OMVS.CP1D.ZOS203.VAR USEAGE: 99.78,2019/7/5 1:00,BZZFSUSGES0
81823,1+,1,01.40.48 CP2C J0033870 *IEF099I JOB TMZ60000 WAITING FOR DATA SETS,2019/7/5 2:00,IEF099I
81824,1+,3,"01.26.14 CP2D           IOS080I 59C9,78,UPA61102, I/O TIMEOUT INTERVAL HAS BEEN EXCEEDED FOR AN ACTIVE REQUEST.",2019/7/5 2:00,IOS080I
81825,1+,7,"01.08.26 CP2B          *IXC585E STRUCTURE LOGRECSTRUCTURE IN COUPLING * FACILITY BCC2C2, *PHYSICAL STRUCTURE VERSION D3C53696 F18B86E4, *IS AT OR ABOVE STRUCTURE FULL MONITORING THRESHOLD OF 80%: *   SPACE USAGE     IN-USE       T",2019/7/5 2:00,IXC585E
81826,1+,8,02.16.09 CP1E S0008418 *DSNB325A  -DP71 DSNB1CNE THERE IS A CRITICAL * SHORTAGE *OF SPACE IN GROUP BUFFER POOL GBP25-SEC,2019/7/5 3:00,DSNB325A
81827,1+,1,02.15.01 CP3B J0163980 *IEF099I JOB RMFRPTD3 WAITING FOR DATA SETS,2019/7/5 3:00,IEF099I
81828,1+,1,02.02.39 CP1D J0116974 *IEF099I JOB G01S506B WAITING FOR DATA SETS,2019/7/5 3:00,IEF099I
81829,1+,9,04.51.41 CP1D J0134919 *IEF099I JOB G01S131B WAITING FOR DATA SETS,2019/7/5 5:00,IEF099I
81830,1+,3,"04.21.26 CP2D           IOS080I 40EE,B1,ZM181502, I/O TIMEOUT INTERVAL HAS BEEN EXCEEDED FOR AN ACTIVE REQUEST. DATASET NAME=PRDDEDPR.SPLIT.INCT.UL791506",2019/7/5 5:00,IOS080I
81832,1+,9,05.38.27 CP1F J0135565 *IEF099I JOB DB2SQL   WAITING FOR DATA SETS,2019/7/5 6:00,IEF099I
81833,1+,9,05.27.21 CP1E J0135446 *IEF099I JOB AXBKOUT  WAITING FOR DATA SETS,2019/7/5 6:00,IEF099I
81834,1+,0,05.07.31 CP1D J0134972  +DBA:BANCS BIG PARTITION TS FOUND!TSPROM PART 16 75.5% INUSE SYSJOB,2019/7/5 6:00,BIG PARTITION
81835,1+,0,05.07.31 CP1D J0134972  +DBA:BANCS BIG PARTITION TS FOUND!TSPROM PART 8 74.5% INUSE SYSJOB,2019/7/5 6:00,BIG PARTITION
81836,1+,0,05.07.32 CP1D J0134972  +DBA:BANCS BIG PARTITION TS FOUND!TSPROM PART 20 79.8% INUSE SYSJOB,2019/7/5 6:00,BIG PARTITION
81837,1000+,0,"05.07.30 CP1D J0134972  +DBA:BANCS BIG PARTITION TS FOUND!TSPROM PART 1 76.5% INUSE SYSJOB Scratch of volume -  FF5821 requested by host via device 0CB5, dsn='0148.CA181114.H22'",2019/7/5 6:00,BIG PARTITION
81838,1+,5,05.04.09 CP1F J0135023  +DBA:EISS BIG PARTITION TS FOUND!CGEN061P PART 3 76.0% INUSE SYSJOB,2019/7/5 6:00,BIG PARTITION
81839,1+,5,05.04.09 CP1F J0135023  +DBA:EISS BIG PARTITION TS FOUND!CGEN961P PART 3 75.9% INUSE SYSJOB,2019/7/5 6:00,BIG PARTITION
81840,1+,9,06.42.18 CP3C J0004313 *IEF099I JOB DEDPAT31 WAITING FOR DATA SETS,2019/7/5 7:00,IEF099I
81841,1+,9,06.42.18 CP3D J0004303 *IEF099I JOB DEDPNL31 WAITING FOR DATA SETS,2019/7/5 7:00,IEF099I
81842,1+,4,06.02.35 CP3C J0186250  +DBA:BOCSY BIG PARTITION TS FOUND!TSSORD PART 4 72.0% INUSE SYSJOB,2019/7/5 7:00,BIG PARTITION
81843,1+,4,06.02.35 CP3C J0186250  +DBA:BOCSY BIG PARTITION TS FOUND!TSDPTM PART 4 75.5% INUSE SYSJOB,2019/7/5 7:00,BIG PARTITION
81845,10+,6,07.03.02 CP1E S0052951  BQAPPQDEPS0 SEV=WAR QWP1 NamedQueue: APPISN.MI.WBIFN.SENDQ CURRENT DEPTH:2433 (CurrentDepth >= 2000),2019/7/5 8:00,BQAPPQDEPS0
81846,1+,9,09.37.46 CP1F J0140474 *IEF099I JOB CXEXCPW  WAITING FOR DATA SETS,2019/7/5 10:00,IEF099I
81847,1+,2,10.03.22 CP1E S0008409  DSNR035I  -DP31 DSNRPBCW WARNING - UNCOMMITTED UR AFTER 3 CHECKPOINTS - CORRELATION NAME = TF000102 -           CONNECTION ID  = BATCH -           LUWID = DSNDP01.DP31APPL.D65F5A0077A9 = 11506 -           P,2019/7/5 11:00,DSNR035I
81856,1+,4,13.02.30 CP3C J0031808  +DBA:BOCSY BIG PARTITION TS FOUND!TSDPTM PART 4 75.6% INUSE SYSJOB,2019/7/5 14:00,BIG PARTITION
81857,1+,4,"13.02.30 CP3C J0031808  +DBA:BOCSY BIG PARTITION TS FOUND!TSSORD PART 4 72.0% INUSE SYSJOB FRIDAY, JULY 5, 2019",2019/7/5 14:00,BIG PARTITION
81878,10+,9,"16.56.13 CP1D J0181164 *IEF099I JOB IXUMDISP WAITING FOR DATA SETS FRIDAY, JULY 5, 2019",2019/7/5 17:00,IEF099I
81879,1+,9,16.56.13 CP1D J0181164 *IEF099I JOB IXUMDISP WAITING FOR DATA SETS,2019/7/5 17:00,IEF099I
81882,1+,9,16.20.08 CP1D J0176351 *IEF099I JOB IXUMDISP WAITING FOR DATA SETS,2019/7/5 17:00,IEF099I
81893,1+,0,21.14.18 CP1E J0193784  +DBA:BANCS BIG PARTITION TS FOUND!TSPROM PART 20 79.8% INUSE SYSJOB ALL BUFFER POOLS,2019/7/5 22:00,BIG PARTITION
81894,1+,0,21.14.16 CP1E J0193784  +DBA:BANCS BIG PARTITION TS FOUND!TSPROM PART 1 76.5% INUSE SYSJOB,2019/7/5 22:00,BIG PARTITION
81895,1+,0,21.14.17 CP1E J0193784  +DBA:BANCS BIG PARTITION TS FOUND!TSPROM PART 8 74.5% INUSE SYSJOB,2019/7/5 22:00,BIG PARTITION
81896,1+,0,21.14.17 CP1E J0193784  +DBA:BANCS BIG PARTITION TS FOUND!TSPROM PART 16 75.5% INUSE SYSJOB,2019/7/5 22:00,BIG PARTITION
81897,1+,9,21.11.15 CP1E J0193854 *IEF099I JOB NA100006 WAITING FOR DATA SETS,2019/7/5 22:00,IEF099I
81898,1+,5,21.04.09 CP1D J0193736  +DBA:EISS BIG PARTITION TS FOUND!CGEN061P PART 3 76.5% INUSE SYSJOB,2019/7/5 22:00,BIG PARTITION
81899,1+,5,21.04.09 CP1D J0193736  +DBA:EISS BIG PARTITION TS FOUND!CGEN961P PART 3 75.9% INUSE SYSJOB,2019/7/5 22:00,BIG PARTITION
81900,1+,2,22.58.13 CP1E S0008418  DSNR035I  -DP71 DSNRPBCW WARNING - UNCOMMITTED UR AFTER 3 CHECKPOINTS - CORRELATION NAME = EH460006 -           CONNECTION ID  = BATCH -           LUWID = DSNDP01.DP71APPL.D66008D8EF7C = 13132 -           P,2019/7/5 23:00,DSNR035I
81901,1+,9,23.12.38 CP1D J0198341 *IEF099I JOB G01S663B WAITING FOR DATA SETS,2019/7/6 0:00,IEF099I
81902,1+,8,00.50.59 CP1D S0008416 *DSNB319A  -DP61 DSNB1CNE THERE IS A SHORTAGE OF * SPACE *IN GROUP BUFFER POOL GBP24-SEC,2019/7/6 1:00,DSNB319A
81903,1+,7,"00.46.36 CP1E          *IXC585E STRUCTURE DSNDP01_GBP24 IN COUPLING * FACILITY BCC2C1, *PHYSICAL STRUCTURE VERSION D61B3098 99A8A481, *IS AT OR ABOVE STRUCTURE FULL MONITORING THRESHOLD OF 80%: *   SPACE USAGE     IN-USE       TOT",2019/7/6 1:00,IXC585E
81904,1+,8,00.46.17 CP1E S0008418 *DSNB325A  -DP71 DSNB1CNE THERE IS A CRITICAL * SHORTAGE *OF SPACE IN GROUP BUFFER POOL GBP24-SEC,2019/7/6 1:00,DSNB325A
